"epoch","G46_0425-1730_adam_lr_1e-5_d9595 - _step","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - _step__MAX","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/grader","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/grader__MIN","G46_0425-1730_adam_lr_1e-5_d9595 - metrics_summary/grader__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - _step","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - _step__MAX","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/grader","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/grader__MIN","G46_0413-1746_adam_lr_1e-3_3b531 - metrics_summary/grader__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - _step","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - _step__MAX","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/grader","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/grader__MIN","G46_0406-0941_adam_lr_1e-2_7dbbe - metrics_summary/grader__MAX"
"0","100","100","100","8.21678855236717","8.21678855236717","8.21678855236717","100","100","100","8.942569038916346","8.942569038916346","8.942569038916346","100","100","100","12.370794819997748","12.370794819997748","12.370794819997748","100","100","100","6.910850502264374","6.910850502264374","6.910850502264374"
"1","201","201","201","8.258927016654575","8.258927016654575","8.258927016654575","201","201","201","11.821824323227055","11.821824323227055","11.821824323227055","201","201","201","19.752371050447444","19.752371050447444","19.752371050447444","201","201","201","5.610762992139122","5.610762992139122","5.610762992139122"
"2","302","302","302","12.611757174459264","12.611757174459264","12.611757174459264","302","302","302","15.600165720151054","15.600165720151054","15.600165720151054","302","302","302","24.345828061449232","24.345828061449232","24.345828061449232","302","302","302","6.111475521037562","6.111475521037562","6.111475521037562"
"3","403","403","403","12.892347061570923","12.892347061570923","12.892347061570923","403","403","403","16.798115653193243","16.798115653193243","16.798115653193243","403","403","403","29.669879599284677","29.669879599284677","29.669879599284677","403","403","403","6.504060223375234","6.504060223375234","6.504060223375234"
"4","504","504","504","14.072126312476435","14.072126312476435","14.072126312476435","504","504","504","14.881800690974913","14.881800690974913","14.881800690974913","504","504","504","29.257079202378417","29.257079202378417","29.257079202378417","504","504","504","2.885913769888141","2.885913769888141","2.885913769888141"
"5","605","605","605","13.993659860680125","13.993659860680125","13.993659860680125","605","605","605","27.34340910052206","27.34340910052206","27.34340910052206","605","605","605","31.144500287021387","31.144500287021387","31.144500287021387","605","605","605","5.808366272877166","5.808366272877166","5.808366272877166"
"6","706","706","706","14.822552936188615","14.822552936188615","14.822552936188615","706","706","706","23.260891829204155","23.260891829204155","23.260891829204155","706","706","706","33.28346446665874","33.28346446665874","33.28346446665874","706","706","706","0","0","0"
"7","807","807","807","17.227738400560085","17.227738400560085","17.227738400560085","807","807","807","27.995405283853117","27.995405283853117","27.995405283853117","807","807","807","35.155000209759194","35.155000209759194","35.155000209759194","807","807","807","4.991807078736038","4.991807078736038","4.991807078736038"
"8","908","908","908","18.483245790066896","18.483245790066896","18.483245790066896","908","908","908","25.58824074194028","25.58824074194028","25.58824074194028","908","908","908","30.275064603681905","30.275064603681905","30.275064603681905","908","908","908","4.8505857554728","4.8505857554728","4.8505857554728"
"9","1009","1009","1009","20.08294896278356","20.08294896278356","20.08294896278356","1009","1009","1009","31.316106707217354","31.316106707217354","31.316106707217354","1009","1009","1009","37.21097958947769","37.21097958947769","37.21097958947769","1009","1009","1009","9.64086533475124","9.64086533475124","9.64086533475124"
"10","1110","1110","1110","21.016427413798382","21.016427413798382","21.016427413798382","1110","1110","1110","32.15671611726624","32.15671611726624","32.15671611726624","1110","1110","1110","38.068292378191686","38.068292378191686","38.068292378191686","1110","1110","1110","9.270378014854813","9.270378014854813","9.270378014854813"
"11","1211","1211","1211","21.993690976226382","21.993690976226382","21.993690976226382","1211","1211","1211","32.15733436677221","32.15733436677221","32.15733436677221","1211","1211","1211","39.343033185851674","39.343033185851674","39.343033185851674","1211","1211","1211","10.98311184365648","10.98311184365648","10.98311184365648"
"12","1312","1312","1312","22.948035378389996","22.948035378389996","22.948035378389996","1312","1312","1312","34.61667452591384","34.61667452591384","34.61667452591384","1312","1312","1312","41.01990432327182","41.01990432327182","41.01990432327182","1312","1312","1312","12.615501033043927","12.615501033043927","12.615501033043927"
"13","1413","1413","1413","22.810289853001855","22.810289853001855","22.810289853001855","1413","1413","1413","35.64549973159219","35.64549973159219","35.64549973159219","1413","1413","1413","42.170259453482146","42.170259453482146","42.170259453482146","1413","1413","1413","11.464435452411152","11.464435452411152","11.464435452411152"
"14","1514","1514","1514","23.524179988649436","23.524179988649436","23.524179988649436","1514","1514","1514","36.654303442814545","36.654303442814545","36.654303442814545","1514","1514","1514","43.01837637593441","43.01837637593441","43.01837637593441","1514","1514","1514","9.788487559566931","9.788487559566931","9.788487559566931"
"15","1615","1615","1615","23.17269018057022","23.17269018057022","23.17269018057022","1615","1615","1615","38.33099739661303","38.33099739661303","38.33099739661303","1615","1615","1615","43.30846716948811","43.30846716948811","43.30846716948811","1615","1615","1615","12.65491687098313","12.65491687098313","12.65491687098313"