"epoch","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - _step__MAX","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/semseg","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/semseg__MIN","G46_0426-1526_sgd_lr_1e-1_new_8f316 - metrics_summary/semseg__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - _step","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - _step__MAX","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/semseg","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/semseg__MIN","G46_0426-0109_sgd_lr_1e-4_33e78 - metrics_summary/semseg__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - _step","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - _step__MAX","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/semseg","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/semseg__MIN","G46_0425-2019_sgd_lr_1e-3_1c195 - metrics_summary/semseg__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MAX"
"0","100","100","100","23.91413090826156","23.91413090826156","23.91413090826156","100","100","100","14.928871300391148","14.928871300391148","14.928871300391148","100","100","100","24.35821769945117","24.35821769945117","24.35821769945117","100","100","100","41.27754329414338","41.27754329414338","41.27754329414338"
"1","201","201","201","41.60878834615315","41.60878834615315","41.60878834615315","201","201","201","17.304264462296807","17.304264462296807","17.304264462296807","201","201","201","32.843486721556744","32.843486721556744","32.843486721556744","201","201","201","51.410028865170325","51.410028865170325","51.410028865170325"
"2","302","302","302","49.27362944744478","49.27362944744478","49.27362944744478","302","302","302","19.585166230589884","19.585166230589884","19.585166230589884","302","302","302","38.969913468496486","38.969913468496486","38.969913468496486","302","302","302","55.33176183741391","55.33176183741391","55.33176183741391"
"3","403","403","403","55.43692083439487","55.43692083439487","55.43692083439487","403","403","403","20.505425268391413","20.505425268391413","20.505425268391413","403","403","403","40.96778350118553","40.96778350118553","40.96778350118553","403","403","403","58.57583718743504","58.57583718743504","58.57583718743504"
"4","504","504","504","56.20528771044876","56.20528771044876","56.20528771044876","504","504","504","20.257772416424604","20.257772416424604","20.257772416424604","504","504","504","42.64356522454017","42.64356522454017","42.64356522454017","504","504","504","58.59768935869016","58.59768935869016","58.59768935869016"
"5","605","605","605","57.212733463803715","57.212733463803715","57.212733463803715","605","605","605","21.47918940683967","21.47918940683967","21.47918940683967","605","605","605","47.94719742292856","47.94719742292856","47.94719742292856","605","605","605","62.11692829596759","62.11692829596759","62.11692829596759"
"6","706","706","706","58.957195395117076","58.957195395117076","58.957195395117076","706","706","706","22.06899367532408","22.06899367532408","22.06899367532408","706","706","706","47.31145193838079","47.31145193838079","47.31145193838079","706","706","706","62.11914187804858","62.11914187804858","62.11914187804858"
"7","807","807","807","59.276718038978096","59.276718038978096","59.276718038978096","807","807","807","23.04852265527399","23.04852265527399","23.04852265527399","807","807","807","49.79153030416678","49.79153030416678","49.79153030416678","807","807","807","62.42865964991083","62.42865964991083","62.42865964991083"
"8","908","908","908","62.0539836720345","62.0539836720345","62.0539836720345","908","908","908","22.914842372939294","22.914842372939294","22.914842372939294","908","908","908","49.72607202585036","49.72607202585036","49.72607202585036","908","908","908","62.2020786888309","62.2020786888309","62.2020786888309"
"9","1009","1009","1009","63.39249774660817","63.39249774660817","63.39249774660817","1009","1009","1009","23.945808105265172","23.945808105265172","23.945808105265172","1009","1009","1009","51.49548601215526","51.49548601215526","51.49548601215526","1009","1009","1009","64.88899517816367","64.88899517816367","64.88899517816367"
"10","1110","1110","1110","61.881173740708356","61.881173740708356","61.881173740708356","1110","1110","1110","24.578787107987907","24.578787107987907","24.578787107987907","1110","1110","1110","53.13778210485873","53.13778210485873","53.13778210485873","1110","1110","1110","66.09278589711204","66.09278589711204","66.09278589711204"
"11","1211","1211","1211","63.9549632484574","63.9549632484574","63.9549632484574","1211","1211","1211","24.76203149774703","24.76203149774703","24.76203149774703","1211","1211","1211","50.46929677112815","50.46929677112815","50.46929677112815","1211","1211","1211","65.79275655019863","65.79275655019863","65.79275655019863"
"12","1312","1312","1312","66.62662977810797","66.62662977810797","66.62662977810797","1312","1312","1312","24.88580330694496","24.88580330694496","24.88580330694496","1312","1312","1312","53.848452536276476","53.848452536276476","53.848452536276476","1312","1312","1312","66.09399016753834","66.09399016753834","66.09399016753834"
"13","1413","1413","1413","67.83968687659211","67.83968687659211","67.83968687659211","1413","1413","1413","25.179471782204917","25.179471782204917","25.179471782204917","1413","1413","1413","53.85745554856908","53.85745554856908","53.85745554856908","1413","1413","1413","66.5278401568951","66.5278401568951","66.5278401568951"
"14","1514","1514","1514","69.25403893248146","69.25403893248146","69.25403893248146","1514","1514","1514","25.23259216359945","25.23259216359945","25.23259216359945","1514","1514","1514","54.31176703210848","54.31176703210848","54.31176703210848","1514","1514","1514","67.2163392087431","67.2163392087431","67.2163392087431"
"15","1615","1615","1615","69.81378349276743","69.81378349276743","69.81378349276743","1615","1615","1615","25.437459494393657","25.437459494393657","25.437459494393657","1615","1615","1615","55.1161909141699","55.1161909141699","55.1161909141699","1615","1615","1615","67.05313550819305","67.05313550819305","67.05313550819305"