"epoch","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MAX","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/grader","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/grader__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/grader__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/grader","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/grader__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/grader__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/grader","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/grader__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/grader__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/grader","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/grader__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/grader__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MAX"
"0","200","200","200","13.936705586682876","13.936705586682876","13.936705586682876","200","200","200","10.140824467261993","10.140824467261993","10.140824467261993","200","200","200","7.95559818575893","7.95559818575893","7.95559818575893","200","200","200","11.83616876467643","11.83616876467643","11.83616876467643","200","200","200","13.956879016774764","13.956879016774764","13.956879016774764"
"1","401","401","401","13.826517132557278","13.826517132557278","13.826517132557278","401","401","401","15.6036478576532","15.6036478576532","15.6036478576532","401","401","401","16.255089779888507","16.255089779888507","16.255089779888507","401","401","401","10.702968618933454","10.702968618933454","10.702968618933454","401","401","401","16.095395942476536","16.095395942476536","16.095395942476536"
"2","602","602","602","17.865172831428467","17.865172831428467","17.865172831428467","602","602","602","20.096845088997433","20.096845088997433","20.096845088997433","602","602","602","23.99598949515204","23.99598949515204","23.99598949515204","602","602","602","21.705664552659634","21.705664552659634","21.705664552659634","602","602","602","18.21997075438592","18.21997075438592","18.21997075438592"
"3","803","803","803","23.8942992113541","23.8942992113541","23.8942992113541","803","803","803","24.420488746198217","24.420488746198217","24.420488746198217","803","803","803","24.03064147873546","24.03064147873546","24.03064147873546","803","803","803","23.64194220998059","23.64194220998059","23.64194220998059","803","803","803","26.332580330114865","26.332580330114865","26.332580330114865"
"4","1004","1004","1004","25.254630676681217","25.254630676681217","25.254630676681217","1004","1004","1004","28.030405970018283","28.030405970018283","28.030405970018283","1004","1004","1004","24.417461418870722","24.417461418870722","24.417461418870722","1004","1004","1004","26.563691346260477","26.563691346260477","26.563691346260477","1004","1004","1004","26.34510157996266","26.34510157996266","26.34510157996266"
"5","1205","1205","1205","28.87751044580512","28.87751044580512","28.87751044580512","1205","1205","1205","26.329827734181727","26.329827734181727","26.329827734181727","1205","1205","1205","29.612834017469908","29.612834017469908","29.612834017469908","1205","1205","1205","29.699963437265055","29.699963437265055","29.699963437265055","1205","1205","1205","33.952170763864395","33.952170763864395","33.952170763864395"
"6","1406","1406","1406","28.299671965573417","28.299671965573417","28.299671965573417","1406","1406","1406","23.726656081245515","23.726656081245515","23.726656081245515","1406","1406","1406","33.76435373707537","33.76435373707537","33.76435373707537","1406","1406","1406","33.732072509721974","33.732072509721974","33.732072509721974","1406","1406","1406","36.59965944119851","36.59965944119851","36.59965944119851"
"7","1607","1607","1607","31.375219668550674","31.375219668550674","31.375219668550674","1607","1607","1607","34.377295430549566","34.377295430549566","34.377295430549566","1607","1607","1607","34.730889464952774","34.730889464952774","34.730889464952774","1607","1607","1607","34.29833175474624","34.29833175474624","34.29833175474624","1607","1607","1607","38.80517737671593","38.80517737671593","38.80517737671593"
"8","1808","1808","1808","35.43185077906915","35.43185077906915","35.43185077906915","1808","1808","1808","32.79131829243829","32.79131829243829","32.79131829243829","1808","1808","1808","35.3824102091303","35.3824102091303","35.3824102091303","1808","1808","1808","32.524333875978236","32.524333875978236","32.524333875978236","","","","","",""
"9","2009","2009","2009","35.013257416305116","35.013257416305116","35.013257416305116","2009","2009","2009","36.57381971369013","36.57381971369013","36.57381971369013","2009","2009","2009","37.39443299602217","37.39443299602217","37.39443299602217","2009","2009","2009","34.926216926399235","34.926216926399235","34.926216926399235","","","","","",""
"10","2210","2210","2210","37.95765662443142","37.95765662443142","37.95765662443142","2210","2210","2210","37.04772560919349","37.04772560919349","37.04772560919349","2210","2210","2210","38.409161523237486","38.409161523237486","38.409161523237486","2210","2210","2210","36.74179329974582","36.74179329974582","36.74179329974582","","","","","",""
"11","2411","2411","2411","38.024540078281554","38.024540078281554","38.024540078281554","2411","2411","2411","20.260922555890026","20.260922555890026","20.260922555890026","2411","2411","2411","39.88061404031903","39.88061404031903","39.88061404031903","2411","2411","2411","34.73386271792005","34.73386271792005","34.73386271792005","","","","","",""
"12","2612","2612","2612","39.192500154926634","39.192500154926634","39.192500154926634","2612","2612","2612","39.09066807283797","39.09066807283797","39.09066807283797","2612","2612","2612","40.81869295301925","40.81869295301925","40.81869295301925","2612","2612","2612","37.22671088485403","37.22671088485403","37.22671088485403","","","","","",""
"13","2813","2813","2813","39.95583285636907","39.95583285636907","39.95583285636907","2813","2813","2813","40.612258883224136","40.612258883224136","40.612258883224136","2813","2813","2813","40.45969221084786","40.45969221084786","40.45969221084786","2813","2813","2813","40.60955080967035","40.60955080967035","40.60955080967035","","","","","",""
"14","3014","3014","3014","40.85308504522604","40.85308504522604","40.85308504522604","3014","3014","3014","41.83323205722779","41.83323205722779","41.83323205722779","3014","3014","3014","41.67613862060176","41.67613862060176","41.67613862060176","3014","3014","3014","40.843355345488774","40.843355345488774","40.843355345488774","","","","","",""
"15","3215","3215","3215","41.98461024736672","41.98461024736672","41.98461024736672","3215","3215","3215","42.35293039421795","42.35293039421795","42.35293039421795","3215","3215","3215","42.22269645066561","42.22269645066561","42.22269645066561","3215","3215","3215","42.20305525444418","42.20305525444418","42.20305525444418","","","","","",""