"epoch","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - _step__MAX","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/semseg","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/semseg__MIN","G46_0428-0527_adam_lr_1e-4_bs_2_epochs_16_wsegdep_30_70_4000d - metrics_summary/semseg__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - _step__MAX","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/semseg","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/semseg__MIN","G46_0428-0518_adam_lr_1e-4_bs_2_epochs_16_wsegdep_40_60_80907 - metrics_summary/semseg__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - _step__MAX","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/semseg","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/semseg__MIN","G46_0427-2237_adam_lr_1e-4_bs_2_epochs_16_wsegdep_60_40_bde84 - metrics_summary/semseg__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - _step__MAX","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/semseg","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/semseg__MIN","G46_0427-2229_adam_lr_1e-4_bs_2_epochs_16_wsegdep_70_30_057f8 - metrics_summary/semseg__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MAX"
"0","200","200","200","39.35073880907896","39.35073880907896","39.35073880907896","200","200","200","41.51164420946774","41.51164420946774","41.51164420946774","200","200","200","41.319455205356256","41.319455205356256","41.319455205356256","200","200","200","46.09294101347176","46.09294101347176","46.09294101347176","200","200","200","44.621944260829544","44.621944260829544","44.621944260829544"
"1","401","401","401","45.200184843966404","45.200184843966404","45.200184843966404","401","401","401","50.93266291953595","50.93266291953595","50.93266291953595","401","401","401","52.17656696277624","52.17656696277624","52.17656696277624","401","401","401","50.68651599912478","50.68651599912478","50.68651599912478","401","401","401","49.82362862183519","49.82362862183519","49.82362862183519"
"2","602","602","602","51.86365437196226","51.86365437196226","51.86365437196226","602","602","602","54.46515702332006","54.46515702332006","54.46515702332006","602","602","602","58.095468371177084","58.095468371177084","58.095468371177084","602","602","602","56.906616878730944","56.906616878730944","56.906616878730944","602","602","602","55.139531749916806","55.139531749916806","55.139531749916806"
"3","803","803","803","55.757893358864244","55.757893358864244","55.757893358864244","803","803","803","57.05715068809412","57.05715068809412","57.05715068809412","803","803","803","57.31910658169512","57.31910658169512","57.31910658169512","803","803","803","59.99176142210471","59.99176142210471","59.99176142210471","803","803","803","59.2902577636109","59.2902577636109","59.2902577636109"
"4","1004","1004","1004","56.46145207042027","56.46145207042027","56.46145207042027","1004","1004","1004","59.98312285380714","59.98312285380714","59.98312285380714","1004","1004","1004","59.88813574371536","59.88813574371536","59.88813574371536","1004","1004","1004","61.436959376871336","61.436959376871336","61.436959376871336","1004","1004","1004","61.97637654336084","61.97637654336084","61.97637654336084"
"5","1205","1205","1205","59.7301986789865","59.7301986789865","59.7301986789865","1205","1205","1205","58.53941369448829","58.53941369448829","58.53941369448829","1205","1205","1205","62.80869127635831","62.80869127635831","62.80869127635831","1205","1205","1205","62.43661165420597","62.43661165420597","62.43661165420597","1205","1205","1205","64.37471827750723","64.37471827750723","64.37471827750723"
"6","1406","1406","1406","58.30792804410458","58.30792804410458","58.30792804410458","1406","1406","1406","56.44338409978305","56.44338409978305","56.44338409978305","1406","1406","1406","64.94322129432311","64.94322129432311","64.94322129432311","1406","1406","1406","65.04082932263117","65.04082932263117","65.04082932263117","1406","1406","1406","65.67110796832507","65.67110796832507","65.67110796832507"
"7","1607","1607","1607","61.44742438774068","61.44742438774068","61.44742438774068","1607","1607","1607","63.82088339851169","63.82088339851169","63.82088339851169","1607","1607","1607","65.24395762487009","65.24395762487009","65.24395762487009","1607","1607","1607","65.53958534889607","65.53958534889607","65.53958534889607","1607","1607","1607","67.198589597706","67.198589597706","67.198589597706"
"8","1808","1808","1808","63.568229451757745","63.568229451757745","63.568229451757745","1808","1808","1808","62.84365535255852","62.84365535255852","62.84365535255852","1808","1808","1808","65.60695162920435","65.60695162920435","65.60695162920435","1808","1808","1808","63.98497342218386","63.98497342218386","63.98497342218386","","","","","",""
"9","2009","2009","2009","63.833074903793715","63.833074903793715","63.833074903793715","2009","2009","2009","65.41210975126491","65.41210975126491","65.41210975126491","2009","2009","2009","66.4855013420876","66.4855013420876","66.4855013420876","2009","2009","2009","65.95833202741504","65.95833202741504","65.95833202741504","","","","","",""
"10","2210","2210","2210","65.60851936486979","65.60851936486979","65.60851936486979","2210","2210","2210","65.80063775366489","65.80063775366489","65.80063775366489","2210","2210","2210","67.2686578654081","67.2686578654081","67.2686578654081","2210","2210","2210","67.05717006648808","67.05717006648808","67.05717006648808","","","","","",""
"11","2411","2411","2411","65.61242138017245","65.61242138017245","65.61242138017245","2411","2411","2411","52.709027247841675","52.709027247841675","52.709027247841675","2411","2411","2411","68.30116565866555","68.30116565866555","68.30116565866555","2411","2411","2411","66.66599422441489","66.66599422441489","66.66599422441489","","","","","",""
"12","2612","2612","2612","66.44779716053151","66.44779716053151","66.44779716053151","2612","2612","2612","67.05522653367866","67.05522653367866","67.05522653367866","2612","2612","2612","68.83858992747825","68.83858992747825","68.83858992747825","2612","2612","2612","67.62332931086769","67.62332931086769","67.62332931086769","","","","","",""
"13","2813","2813","2813","67.11419378564513","67.11419378564513","67.11419378564513","2813","2813","2813","67.7726657955582","67.7726657955582","67.7726657955582","2813","2813","2813","68.58767459162506","68.58767459162506","68.58767459162506","2813","2813","2813","69.36779937945505","69.36779937945505","69.36779937945505","","","","","",""
"14","3014","3014","3014","67.87282717633225","67.87282717633225","67.87282717633225","3014","3014","3014","68.66835014022045","68.66835014022045","68.66835014022045","3014","3014","3014","69.50467158058507","69.50467158058507","69.50467158058507","3014","3014","3014","69.08993391191125","69.08993391191125","69.08993391191125","","","","","",""
"15","3215","3215","3215","68.53642114306454","68.53642114306454","68.53642114306454","3215","3215","3215","69.00448246156238","69.00448246156238","69.00448246156238","3215","3215","3215","69.8165489724591","69.8165489724591","69.8165489724591","3215","3215","3215","70.07534143647864","70.07534143647864","70.07534143647864","","","","","",""