"epoch","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MAX","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/depth","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/depth__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/depth__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/depth","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/depth__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/depth__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/depth","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/depth__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/depth__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/depth","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/depth__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/depth__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/depth__MAX"
"0","200","200","200","45.906431946063755","45.906431946063755","45.906431946063755","200","200","200","45.83380160455052","45.83380160455052","45.83380160455052","200","200","200","40.12156088542306","40.12156088542306","40.12156088542306","200","200","200","45.32357255074364","45.32357255074364","45.32357255074364","200","200","200","41.174343900496076","41.174343900496076","41.174343900496076"
"1","401","401","401","37.198226976372595","37.198226976372595","37.198226976372595","401","401","401","37.19006128998658","37.19006128998658","37.19006128998658","401","401","401","36.08237254128929","36.08237254128929","36.08237254128929","401","401","401","41.96405604384819","41.96405604384819","41.96405604384819","401","401","401","43.28372060345559","43.28372060345559","43.28372060345559"
"2","602","602","602","39.32971704479408","39.32971704479408","39.32971704479408","602","602","602","37.47921870776684","37.47921870776684","37.47921870776684","602","602","602","43.639935604929335","43.639935604929335","43.639935604929335","602","602","602","38.010130490426896","38.010130490426896","38.010130490426896","602","602","602","35.65081096553796","35.65081096553796","35.65081096553796"
"3","803","803","803","36.00028409954498","36.00028409954498","36.00028409954498","803","803","803","34.56897562583036","34.56897562583036","34.56897562583036","803","803","803","31.655572603648068","31.655572603648068","31.655572603648068","803","803","803","37.00182146228632","37.00182146228632","37.00182146228632","803","803","803","35.933974280967576","35.933974280967576","35.933974280967576"
"4","1004","1004","1004","30.407300690976907","30.407300690976907","30.407300690976907","1004","1004","1004","31.28407771335165","31.28407771335165","31.28407771335165","1004","1004","1004","33.693598432108416","33.693598432108416","33.693598432108416","1004","1004","1004","35.2796102181998","35.2796102181998","35.2796102181998","1004","1004","1004","29.843281222670786","29.843281222670786","29.843281222670786"
"5","1205","1205","1205","30.119570727248078","30.119570727248078","30.119570727248078","1205","1205","1205","33.53504280240418","33.53504280240418","33.53504280240418","1205","1205","1205","30.347688117138116","30.347688117138116","30.347688117138116","1205","1205","1205","33.12756116917042","33.12756116917042","33.12756116917042","1205","1205","1205","28.88803589442004","28.88803589442004","28.88803589442004"
"6","1406","1406","1406","31.982309074662428","31.982309074662428","31.982309074662428","1406","1406","1406","35.878505749405726","35.878505749405726","35.878505749405726","1406","1406","1406","29.138078154810685","29.138078154810685","29.138078154810685","1406","1406","1406","29.85419568307084","29.85419568307084","29.85419568307084","1406","1406","1406","29.162462009319675","29.162462009319675","29.162462009319675"
"7","1607","1607","1607","29.80786933820076","29.80786933820076","29.80786933820076","1607","1607","1607","29.752483360241087","29.752483360241087","29.752483360241087","1607","1607","1607","29.269925570478463","29.269925570478463","29.269925570478463","1607","1607","1607","29.022850470658224","29.022850470658224","29.022850470658224","1607","1607","1607","27.978351167390937","27.978351167390937","27.978351167390937"
"8","1808","1808","1808","28.65582654253932","28.65582654253932","28.65582654253932","1808","1808","1808","29.79006514270295","29.79006514270295","29.79006514270295","1808","1808","1808","28.112713721011218","28.112713721011218","28.112713721011218","1808","1808","1808","30.326653858578002","30.326653858578002","30.326653858578002","","","","","",""
"9","2009","2009","2009","28.538488767134833","28.538488767134833","28.538488767134833","2009","2009","2009","29.723132255333923","29.723132255333923","29.723132255333923","2009","2009","2009","28.234678273453053","28.234678273453053","28.234678273453053","2009","2009","2009","28.653780280982105","28.653780280982105","28.653780280982105","","","","","",""
"10","2210","2210","2210","28.7657690422732","28.7657690422732","28.7657690422732","2210","2210","2210","28.94612557952478","28.94612557952478","28.94612557952478","2210","2210","2210","27.375035845891794","27.375035845891794","27.375035845891794","2210","2210","2210","27.958397633181182","27.958397633181182","27.958397633181182","","","","","",""
"11","2411","2411","2411","28.95895701323167","28.95895701323167","28.95895701323167","2411","2411","2411","28.70222907658145","28.70222907658145","28.70222907658145","2411","2411","2411","27.025027275790308","27.025027275790308","27.025027275790308","2411","2411","2411","27.75219997943067","27.75219997943067","27.75219997943067","","","","","",""