"epoch","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MAX","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/grader","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/grader__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/grader__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/grader","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/grader__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/grader__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/grader","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/grader__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/grader__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/grader","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/grader__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/grader__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MAX"
"0","200","200","200","4.093568053936245","4.093568053936245","4.093568053936245","200","200","200","4.166198395449477","4.166198395449477","4.166198395449477","200","200","200","9.878439114576942","9.878439114576942","9.878439114576942","200","200","200","4.676427449256359","4.676427449256359","4.676427449256359","200","200","200","8.825656099503924","8.825656099503924","8.825656099503924"
"1","401","401","401","12.801773023627405","12.801773023627405","12.801773023627405","401","401","401","16.86289652642111","16.86289652642111","16.86289652642111","401","401","401","13.917627458710712","13.917627458710712","13.917627458710712","401","401","401","8.035943956151812","8.035943956151812","8.035943956151812","401","401","401","8.169708990171785","8.169708990171785","8.169708990171785"
"2","602","602","602","10.67028295520592","10.67028295520592","10.67028295520592","602","602","602","18.725049152283503","18.725049152283503","18.725049152283503","602","602","602","11.68621153347172","11.68621153347172","11.68621153347172","602","602","602","16.854823196275653","16.854823196275653","16.854823196275653","602","602","602","17.189856557619336","17.189856557619336","17.189856557619336"
"3","803","803","803","13.999715900455023","13.999715900455023","13.999715900455023","803","803","803","26.632732156644693","26.632732156644693","26.632732156644693","803","803","803","24.619785547666936","24.619785547666936","24.619785547666936","803","803","803","22.534591001615112","22.534591001615112","22.534591001615112","803","803","803","16.116799164963957","16.116799164963957","16.116799164963957"
"4","1004","1004","1004","26.21878334119936","26.21878334119936","26.21878334119936","1004","1004","1004","31.16325995230111","31.16325995230111","31.16325995230111","1004","1004","1004","26.492559189223947","26.492559189223947","26.492559189223947","1004","1004","1004","27.32778074201307","27.32778074201307","27.32778074201307","1004","1004","1004","29.031879939552514","29.031879939552514","29.031879939552514"
"5","1205","1205","1205","25.75879955045725","25.75879955045725","25.75879955045725","1205","1205","1205","28.652144386489596","28.652144386489596","28.652144386489596","1205","1205","1205","31.344396498765303","31.344396498765303","31.344396498765303","1205","1205","1205","30.348908124320047","30.348908124320047","30.348908124320047","1205","1205","1205","34.31458443923316","34.31458443923316","34.31458443923316"
"6","1406","1406","1406","25.11240133721864","25.11240133721864","25.11240133721864","1406","1406","1406","27.852766955852466","27.852766955852466","27.852766955852466","1406","1406","1406","33.2666621203591","33.2666621203591","33.2666621203591","1406","1406","1406","34.78313753703736","34.78313753703736","34.78313753703736","1406","1406","1406","34.68451725449819","34.68451725449819","34.68451725449819"
"7","1607","1607","1607","31.464487678242207","31.464487678242207","31.464487678242207","1607","1607","1607","35.87310747171105","35.87310747171105","35.87310747171105","1607","1607","1607","34.55401908128484","34.55401908128484","34.55401908128484","1607","1607","1607","35.880443516411034","35.880443516411034","35.880443516411034","1607","1607","1607","37.17688330886092","37.17688330886092","37.17688330886092"
"8","1808","1808","1808","32.974910775932344","32.974910775932344","32.974910775932344","1808","1808","1808","36.18441245449085","36.18441245449085","36.18441245449085","1808","1808","1808","35.416498268053026","35.416498268053026","35.416498268053026","1808","1808","1808","35.328769180525455","35.328769180525455","35.328769180525455","","","","","",""
"9","2009","2009","2009","33.73283682759964","33.73283682759964","33.73283682759964","2009","2009","2009","36.73495447106707","36.73495447106707","36.73495447106707","2009","2009","2009","36.66539866268157","36.66539866268157","36.66539866268157","2009","2009","2009","38.419924235205514","38.419924235205514","38.419924235205514","","","","","",""
"10","2210","2210","2210","34.25336461198524","34.25336461198524","34.25336461198524","2210","2210","2210","38.79583802844243","38.79583802844243","38.79583802844243","2210","2210","2210","37.95714769159208","37.95714769159208","37.95714769159208","2210","2210","2210","39.084910395910896","39.084910395910896","39.084910395910896","","","","","",""
"11","2411","2411","2411","35.24348987142983","35.24348987142983","35.24348987142983","2411","2411","2411","39.529860773747416","39.529860773747416","39.529860773747416","2411","2411","2411","39.59992117044456","39.59992117044456","39.59992117044456","2411","2411","2411","39.90358487801065","39.90358487801065","39.90358487801065","","","","","",""