"epoch","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - _step__MAX","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/semseg","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/semseg__MIN","G46_0427-1223_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_30_70_7c7ba - metrics_summary/semseg__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - _step__MAX","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/semseg","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/semseg__MIN","G46_0427-0746_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_70_30_7ff90 - metrics_summary/semseg__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - _step__MAX","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/semseg","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/semseg__MIN","G46_0427-0221_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_40_60_3a1e9 - metrics_summary/semseg__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - _step__MAX","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/semseg","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/semseg__MIN","G46_0426-2139_sgd_lr_1e-2_bs_2_epochs_12_wsegdep_60_40_2560c - metrics_summary/semseg__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MAX"
"0","200","200","200","31.73482005698156","31.73482005698156","31.73482005698156","200","200","200","42.239795574292856","42.239795574292856","42.239795574292856","200","200","200","35.19266243078732","35.19266243078732","35.19266243078732","200","200","200","43.78672780260788","43.78672780260788","43.78672780260788","200","200","200","41.063025506071696","41.063025506071696","41.063025506071696"
"1","401","401","401","36.57085488882364","36.57085488882364","36.57085488882364","401","401","401","54.05295781640769","54.05295781640769","54.05295781640769","401","401","401","47.28988733493828","47.28988733493828","47.28988733493828","401","401","401","49.60136546799243","49.60136546799243","49.60136546799243","401","401","401","51.45342959362738","51.45342959362738","51.45342959362738"
"2","602","602","602","40.29869161962489","40.29869161962489","40.29869161962489","602","602","602","56.204267860050344","56.204267860050344","56.204267860050344","602","602","602","55.326147138401055","55.326147138401055","55.326147138401055","602","602","602","54.86495368670255","54.86495368670255","54.86495368670255","602","602","602","52.84066752315729","52.84066752315729","52.84066752315729"
"3","803","803","803","47.001777638144226","47.001777638144226","47.001777638144226","803","803","803","61.201707782475054","61.201707782475054","61.201707782475054","803","803","803","56.275358151315004","56.275358151315004","56.275358151315004","803","803","803","59.536412463901435","59.536412463901435","59.536412463901435","803","803","803","52.05077344593153","52.05077344593153","52.05077344593153"
"4","1004","1004","1004","56.626084032176266","56.626084032176266","56.626084032176266","1004","1004","1004","62.44733766565276","62.44733766565276","62.44733766565276","1004","1004","1004","60.18615762133236","60.18615762133236","60.18615762133236","1004","1004","1004","62.60739096021287","62.60739096021287","62.60739096021287","1004","1004","1004","58.8751611622233","58.8751611622233","58.8751611622233"
"5","1205","1205","1205","55.87837027770533","55.87837027770533","55.87837027770533","1205","1205","1205","62.18718718889377","62.18718718889377","62.18718718889377","1205","1205","1205","61.69208461590342","61.69208461590342","61.69208461590342","1205","1205","1205","63.47646929349047","63.47646929349047","63.47646929349047","1205","1205","1205","63.20262033365319","63.20262033365319","63.20262033365319"
"6","1406","1406","1406","57.09471041188107","57.09471041188107","57.09471041188107","1406","1406","1406","63.73127270525819","63.73127270525819","63.73127270525819","1406","1406","1406","62.404740275169786","62.404740275169786","62.404740275169786","1406","1406","1406","64.6373332201082","64.6373332201082","64.6373332201082","1406","1406","1406","63.846979263817865","63.846979263817865","63.846979263817865"
"7","1607","1607","1607","61.27235701644297","61.27235701644297","61.27235701644297","1607","1607","1607","65.62559083195214","65.62559083195214","65.62559083195214","1607","1607","1607","63.823944651763306","63.823944651763306","63.823944651763306","1607","1607","1607","64.90329398706926","64.90329398706926","64.90329398706926","1607","1607","1607","65.15523447625186","65.15523447625186","65.15523447625186"
"8","1808","1808","1808","61.63073731847167","61.63073731847167","61.63073731847167","1808","1808","1808","65.9744775971938","65.9744775971938","65.9744775971938","1808","1808","1808","63.529211989064244","63.529211989064244","63.529211989064244","1808","1808","1808","65.65542303910345","65.65542303910345","65.65542303910345","","","","","",""
"9","2009","2009","2009","62.27132559473447","62.27132559473447","62.27132559473447","2009","2009","2009","66.45808672640099","66.45808672640099","66.45808672640099","2009","2009","2009","64.90007693613462","64.90007693613462","64.90007693613462","2009","2009","2009","67.07370451618762","67.07370451618762","67.07370451618762","","","","","",""
"10","2210","2210","2210","63.01913365425844","63.01913365425844","63.01913365425844","2210","2210","2210","67.74196360796721","67.74196360796721","67.74196360796721","2210","2210","2210","65.33218353748387","65.33218353748387","65.33218353748387","2210","2210","2210","67.04330802909207","67.04330802909207","67.04330802909207","","","","","",""
"11","2411","2411","2411","64.2024468846615","64.2024468846615","64.2024468846615","2411","2411","2411","68.23208985032886","68.23208985032886","68.23208985032886","2411","2411","2411","66.62494844623487","66.62494844623487","66.62494844623487","2411","2411","2411","67.65578485744132","67.65578485744132","67.65578485744132","","","","","",""