"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/grader__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/grader__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/grader__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/grader__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MAX"
"0","200","200","200","13.956879016774764","13.956879016774764","13.956879016774764","50","50","50","13.052203148115929","13.052203148115929","13.052203148115929","200","200","200","8.825656099503924","8.825656099503924","8.825656099503924","50","50","50","7.955065688792118","7.955065688792118","7.955065688792118","100","100","100","12.370794819997748","12.370794819997748","12.370794819997748","100","100","100","8.803730682506973","8.803730682506973","8.803730682506973"
"1","401","401","401","16.095395942476536","16.095395942476536","16.095395942476536","101","101","101","18.245399044785188","18.245399044785188","18.245399044785188","401","401","401","8.169708990171785","8.169708990171785","8.169708990171785","101","101","101","12.821777948236637","12.821777948236637","12.821777948236637","201","201","201","19.752371050447444","19.752371050447444","19.752371050447444","201","201","201","17.133558901683834","17.133558901683834","17.133558901683834"
"2","602","602","602","18.21997075438592","18.21997075438592","18.21997075438592","152","152","152","21.32869492613407","21.32869492613407","21.32869492613407","602","602","602","17.189856557619336","17.189856557619336","17.189856557619336","152","152","152","21.365794901330872","21.365794901330872","21.365794901330872","302","302","302","24.345828061449232","24.345828061449232","24.345828061449232","302","302","302","15.149783575702543","15.149783575702543","15.149783575702543"
"3","803","803","803","26.332580330114865","26.332580330114865","26.332580330114865","203","203","203","26.18355781374199","26.18355781374199","26.18355781374199","803","803","803","16.116799164963957","16.116799164963957","16.116799164963957","203","203","203","21.667159095451836","21.667159095451836","21.667159095451836","403","403","403","29.669879599284677","29.669879599284677","29.669879599284677","403","403","403","26.871410415294964","26.871410415294964","26.871410415294964"
"4","1004","1004","1004","26.34510157996266","26.34510157996266","26.34510157996266","254","254","254","23.065544820224723","23.065544820224723","23.065544820224723","1004","1004","1004","29.031879939552514","29.031879939552514","29.031879939552514","254","254","254","10.56154560070695","10.56154560070695","10.56154560070695","504","504","504","29.257079202378417","29.257079202378417","29.257079202378417","504","504","504","23.871755764890246","23.871755764890246","23.871755764890246"
"5","1205","1205","1205","33.952170763864395","33.952170763864395","33.952170763864395","305","305","305","33.47177211959175","33.47177211959175","33.47177211959175","1205","1205","1205","34.31458443923316","34.31458443923316","34.31458443923316","305","305","305","21.900778733612313","21.900778733612313","21.900778733612313","605","605","605","31.144500287021387","31.144500287021387","31.144500287021387","605","605","605","32.170708262272186","32.170708262272186","32.170708262272186"
"6","1406","1406","1406","36.59965944119851","36.59965944119851","36.59965944119851","356","356","356","32.90170584906515","32.90170584906515","32.90170584906515","1406","1406","1406","34.68451725449819","34.68451725449819","34.68451725449819","356","356","356","27.101060140446883","27.101060140446883","27.101060140446883","706","706","706","33.28346446665874","33.28346446665874","33.28346446665874","706","706","706","30.296454850882554","30.296454850882554","30.296454850882554"
"7","1607","1607","1607","38.80517737671593","38.80517737671593","38.80517737671593","407","407","407","29.406536227767397","29.406536227767397","29.406536227767397","1607","1607","1607","37.17688330886092","37.17688330886092","37.17688330886092","407","407","407","27.926004163456653","27.926004163456653","27.926004163456653","807","807","807","35.155000209759194","35.155000209759194","35.155000209759194","807","807","807","26.394304585099924","26.394304585099924","26.394304585099924"
"8","","","","","","","458","458","458","33.008148032605035","33.008148032605035","33.008148032605035","","","","","","","458","458","458","33.73066437002383","33.73066437002383","33.73066437002383","908","908","908","30.275064603681905","30.275064603681905","30.275064603681905","908","908","908","26.757582998839652","26.757582998839652","26.757582998839652"
"9","","","","","","","509","509","509","36.24863107260312","36.24863107260312","36.24863107260312","","","","","","","509","509","509","34.20796426535648","34.20796426535648","34.20796426535648","1009","1009","1009","37.21097958947769","37.21097958947769","37.21097958947769","1009","1009","1009","33.562465264828944","33.562465264828944","33.562465264828944"
"10","","","","","","","560","560","560","35.196899803436764","35.196899803436764","35.196899803436764","","","","","","","560","560","560","34.80923532442698","34.80923532442698","34.80923532442698","1110","1110","1110","38.068292378191686","38.068292378191686","38.068292378191686","1110","1110","1110","37.86756727913045","37.86756727913045","37.86756727913045"
"11","","","","","","","611","611","611","37.75062330612266","37.75062330612266","37.75062330612266","","","","","","","611","611","611","33.73299917005703","33.73299917005703","33.73299917005703","1211","1211","1211","39.343033185851674","39.343033185851674","39.343033185851674","1211","1211","1211","35.64153685766456","35.64153685766456","35.64153685766456"
"12","","","","","","","662","662","662","36.4470135004573","36.4470135004573","36.4470135004573","","","","","","","662","662","662","35.197977450249695","35.197977450249695","35.197977450249695","1312","1312","1312","41.01990432327182","41.01990432327182","41.01990432327182","1312","1312","1312","33.9971631355078","33.9971631355078","33.9971631355078"
"13","","","","","","","713","713","713","39.39784276013813","39.39784276013813","39.39784276013813","","","","","","","713","713","713","37.57673282390475","37.57673282390475","37.57673282390475","1413","1413","1413","42.170259453482146","42.170259453482146","42.170259453482146","1413","1413","1413","37.50272066039891","37.50272066039891","37.50272066039891"
"14","","","","","","","764","764","764","40.0309750049516","40.0309750049516","40.0309750049516","","","","","","","764","764","764","36.9934929010049","36.9934929010049","36.9934929010049","1514","1514","1514","43.01837637593441","43.01837637593441","43.01837637593441","1514","1514","1514","40.01745735909594","40.01745735909594","40.01745735909594"
"15","","","","","","","815","815","815","36.777829363507564","36.777829363507564","36.777829363507564","","","","","","","815","815","815","36.64022334733217","36.64022334733217","36.64022334733217","1615","1615","1615","43.30846716948811","43.30846716948811","43.30846716948811","1615","1615","1615","39.84009728281991","39.84009728281991","39.84009728281991"
"16","","","","","","","866","866","866","40.87744039575196","40.87744039575196","40.87744039575196","","","","","","","866","866","866","37.21664007116647","37.21664007116647","37.21664007116647","","","","","","","","","","","",""
"17","","","","","","","917","917","917","41.44485192285208","41.44485192285208","41.44485192285208","","","","","","","917","917","917","38.68869770669525","38.68869770669525","38.68869770669525","","","","","","","","","","","",""
"18","","","","","","","968","968","968","41.754089635382385","41.754089635382385","41.754089635382385","","","","","","","968","968","968","38.892789214644246","38.892789214644246","38.892789214644246","","","","","","","","","","","",""
"19","","","","","","","1019","1019","1019","40.77696944512522","40.77696944512522","40.77696944512522","","","","","","","1019","1019","1019","39.31558872851264","39.31558872851264","39.31558872851264","","","","","","","","","","","",""
"20","","","","","","","1070","1070","1070","43.09959604691116","43.09959604691116","43.09959604691116","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","","","","","1121","1121","1121","42.47556172667386","42.47556172667386","42.47556172667386","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1172","1172","1172","43.05837496238226","43.05837496238226","43.05837496238226","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","","","","1223","1223","1223","43.12960840420136","43.12960840420136","43.12960840420136","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","1274","1274","1274","43.51093653745602","43.51093653745602","43.51093653745602","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","1325","1325","1325","44.19891039090061","44.19891039090061","44.19891039090061","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","1376","1376","1376","44.412718365570186","44.412718365570186","44.412718365570186","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","1427","1427","1427","44.948780542147745","44.948780542147745","44.948780542147745","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","1478","1478","1478","45.46950383056748","45.46950383056748","45.46950383056748","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","","","","","","1529","1529","1529","45.660104375953445","45.660104375953445","45.660104375953445","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","1580","1580","1580","45.87306521729859","45.87306521729859","45.87306521729859","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","","","1631","1631","1631","46.288561773704174","46.288561773704174","46.288561773704174","","","","","","","","","","","","","","","","","","","","","","","",""