"epoch","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - _step__MAX","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MIN","G46_0427-0551_adam_bs_2_epochs_8_9827c - metrics_summary/semseg__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - _step__MAX","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg__MIN","G46_0426-2155_adam_bs_8_epochs_32_bf927 - metrics_summary/semseg__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - _step__MAX","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MIN","G46_0426-1058_sgd_lr_1e-2_bs_2_epochs_8_0d2a4 - metrics_summary/semseg__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - _step__MAX","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg__MIN","G46_0426-1043_sgd_lr_1e-2_bs_8_epochs_32_04287 - metrics_summary/semseg__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/semseg__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/semseg__MAX"
"0","200","200","200","44.621944260829544","44.621944260829544","44.621944260829544","50","50","50","40.83451216609595","40.83451216609595","40.83451216609595","200","200","200","41.063025506071696","41.063025506071696","41.063025506071696","50","50","50","36.949856386191065","36.949856386191065","36.949856386191065","100","100","100","44.41418854446432","44.41418854446432","44.41418854446432","100","100","100","41.27754329414338","41.27754329414338","41.27754329414338"
"1","401","401","401","49.82362862183519","49.82362862183519","49.82362862183519","101","101","101","52.425453248174065","52.425453248174065","52.425453248174065","401","401","401","51.45342959362738","51.45342959362738","51.45342959362738","101","101","101","48.66891987701973","48.66891987701973","48.66891987701973","201","201","201","53.01801063817535","53.01801063817535","53.01801063817535","201","201","201","51.410028865170325","51.410028865170325","51.410028865170325"
"2","602","602","602","55.139531749916806","55.139531749916806","55.139531749916806","152","152","152","54.06818730752964","54.06818730752964","54.06818730752964","602","602","602","52.84066752315729","52.84066752315729","52.84066752315729","152","152","152","54.10604967304417","54.10604967304417","54.10604967304417","302","302","302","57.504940802870664","57.504940802870664","57.504940802870664","302","302","302","55.33176183741391","55.33176183741391","55.33176183741391"
"3","803","803","803","59.2902577636109","59.2902577636109","59.2902577636109","203","203","203","58.76049590967134","58.76049590967134","58.76049590967134","803","803","803","52.05077344593153","52.05077344593153","52.05077344593153","203","203","203","55.88644888913175","55.88644888913175","55.88644888913175","403","403","403","60.604975852880266","60.604975852880266","60.604975852880266","403","403","403","58.57583718743504","58.57583718743504","58.57583718743504"
"4","1004","1004","1004","61.97637654336084","61.97637654336084","61.97637654336084","254","254","254","55.14703734870944","55.14703734870944","55.14703734870944","1004","1004","1004","58.8751611622233","58.8751611622233","58.8751611622233","254","254","254","40.59496903821994","40.59496903821994","40.59496903821994","504","504","504","61.09410988836007","61.09410988836007","61.09410988836007","504","504","504","58.59768935869016","58.59768935869016","58.59768935869016"
"5","1205","1205","1205","64.37471827750723","64.37471827750723","64.37471827750723","305","305","305","63.15686866082799","63.15686866082799","63.15686866082799","1205","1205","1205","63.20262033365319","63.20262033365319","63.20262033365319","305","305","305","55.3202651677159","55.3202651677159","55.3202651677159","605","605","605","60.89112352899661","60.89112352899661","60.89112352899661","605","605","605","62.11692829596759","62.11692829596759","62.11692829596759"
"6","1406","1406","1406","65.67110796832507","65.67110796832507","65.67110796832507","356","356","356","62.113815933333484","62.113815933333484","62.113815933333484","1406","1406","1406","63.846979263817865","63.846979263817865","63.846979263817865","356","356","356","59.829164803591404","59.829164803591404","59.829164803591404","706","706","706","63.60548890025479","63.60548890025479","63.60548890025479","706","706","706","62.11914187804858","62.11914187804858","62.11914187804858"
"7","1607","1607","1607","67.198589597706","67.198589597706","67.198589597706","407","407","407","60.22356580485427","60.22356580485427","60.22356580485427","1607","1607","1607","65.15523447625186","65.15523447625186","65.15523447625186","407","407","407","62.59834679674625","62.59834679674625","62.59834679674625","807","807","807","64.86963834452479","64.86963834452479","64.86963834452479","807","807","807","62.42865964991083","62.42865964991083","62.42865964991083"
"8","","","","","","","458","458","458","63.42785848809558","63.42785848809558","63.42785848809558","","","","","","","458","458","458","62.774155155430414","62.774155155430414","62.774155155430414","908","908","908","65.3279733444333","65.3279733444333","65.3279733444333","908","908","908","62.2020786888309","62.2020786888309","62.2020786888309"
"9","","","","","","","509","509","509","65.06178776022598","65.06178776022598","65.06178776022598","","","","","","","509","509","509","63.56319301992896","63.56319301992896","63.56319301992896","1009","1009","1009","65.80505746185622","65.80505746185622","65.80505746185622","1009","1009","1009","64.88899517816367","64.88899517816367","64.88899517816367"
"10","","","","","","","560","560","560","64.5145947838595","64.5145947838595","64.5145947838595","","","","","","","560","560","560","63.960308619938075","63.960308619938075","63.960308619938075","1110","1110","1110","67.22211350944671","67.22211350944671","67.22211350944671","1110","1110","1110","66.09278589711204","66.09278589711204","66.09278589711204"
"11","","","","","","","611","611","611","66.62451749395777","66.62451749395777","66.62451749395777","","","","","","","611","611","611","63.39726932932242","63.39726932932242","63.39726932932242","1211","1211","1211","67.47047508315777","67.47047508315777","67.47047508315777","1211","1211","1211","65.79275655019863","65.79275655019863","65.79275655019863"
"12","","","","","","","662","662","662","65.62492118700702","65.62492118700702","65.62492118700702","","","","","","","662","662","662","63.86101444976012","63.86101444976012","63.86101444976012","1312","1312","1312","68.56400255676769","68.56400255676769","68.56400255676769","1312","1312","1312","66.09399016753834","66.09399016753834","66.09399016753834"
"13","","","","","","","713","713","713","67.4397697270315","67.4397697270315","67.4397697270315","","","","","","","713","713","713","65.37268404225222","65.37268404225222","65.37268404225222","1413","1413","1413","68.98849420650524","68.98849420650524","68.98849420650524","1413","1413","1413","66.5278401568951","66.5278401568951","66.5278401568951"
"14","","","","","","","764","764","764","67.75985250229782","67.75985250229782","67.75985250229782","","","","","","","764","764","764","64.97453007460349","64.97453007460349","64.97453007460349","1514","1514","1514","69.58375324781733","69.58375324781733","69.58375324781733","1514","1514","1514","67.2163392087431","67.2163392087431","67.2163392087431"
"15","","","","","","","815","815","815","65.11159735585821","65.11159735585821","65.11159735585821","","","","","","","815","815","815","64.81883555589835","64.81883555589835","64.81883555589835","1615","1615","1615","69.83083718702396","69.83083718702396","69.83083718702396","1615","1615","1615","67.05313550819305","67.05313550819305","67.05313550819305"
"16","","","","","","","866","866","866","68.50515606906411","68.50515606906411","68.50515606906411","","","","","","","866","866","866","66.08876746070571","66.08876746070571","66.08876746070571","","","","","","","","","","","",""
"17","","","","","","","917","917","917","68.255532004729","68.255532004729","68.255532004729","","","","","","","917","917","917","66.36222474962075","66.36222474962075","66.36222474962075","","","","","","","","","","","",""
"18","","","","","","","968","968","968","68.6535153255007","68.6535153255007","68.6535153255007","","","","","","","968","968","968","66.57589897411836","66.57589897411836","66.57589897411836","","","","","","","","","","","",""
"19","","","","","","","1019","1019","1019","68.18442730455062","68.18442730455062","68.18442730455062","","","","","","","1019","1019","1019","66.70755773578485","66.70755773578485","66.70755773578485","","","","","","","","","","","",""
"20","","","","","","","1070","1070","1070","69.96195939232112","69.96195939232112","69.96195939232112","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","","","","","1121","1121","1121","69.37078646873464","69.37078646873464","69.37078646873464","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","","","","","1172","1172","1172","69.75397836809933","69.75397836809933","69.75397836809933","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","","","","","","1223","1223","1223","69.95290088734066","69.95290088734066","69.95290088734066","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","1274","1274","1274","70.12329130985961","70.12329130985961","70.12329130985961","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","","","","","","1325","1325","1325","70.1876213203868","70.1876213203868","70.1876213203868","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","","","","","","1376","1376","1376","70.63383881746354","70.63383881746354","70.63383881746354","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","","","","","","1427","1427","1427","70.91336301698536","70.91336301698536","70.91336301698536","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","1478","1478","1478","71.18926168717287","71.18926168717287","71.18926168717287","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","","","","","","1529","1529","1529","71.33518663128024","71.33518663128024","71.33518663128024","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","1580","1580","1580","71.49628172328876","71.49628172328876","71.49628172328876","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","","","1631","1631","1631","71.7272766738458","71.7272766738458","71.7272766738458","","","","","","","","","","","","","","","","","","","","","","","",""