"epoch","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/depth__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/depth__MAX"
"0","100","100","100","37.62920518000225","37.62920518000225","37.62920518000225","100","100","100","41.19626931749303","41.19626931749303","41.19626931749303"
"1","201","201","201","33.265639587727904","33.265639587727904","33.265639587727904","201","201","201","34.27646996348649","34.27646996348649","34.27646996348649"
"2","302","302","302","33.15911274142143","33.15911274142143","33.15911274142143","302","302","302","40.181978261711365","40.181978261711365","40.181978261711365"
"3","403","403","403","30.93509625359559","30.93509625359559","30.93509625359559","403","403","403","31.704426772140078","31.704426772140078","31.704426772140078"
"4","504","504","504","31.837030685981656","31.837030685981656","31.837030685981656","504","504","504","34.725933593799915","34.725933593799915","34.725933593799915"
"5","605","605","605","29.74662324197522","29.74662324197522","29.74662324197522","605","605","605","29.946220033695408","29.946220033695408","29.946220033695408"
"6","706","706","706","30.322024433596052","30.322024433596052","30.322024433596052","706","706","706","31.822687027166026","31.822687027166026","31.822687027166026"
"7","807","807","807","29.71463813476559","29.71463813476559","29.71463813476559","807","807","807","36.0343550648109","36.0343550648109","36.0343550648109"
"8","908","908","908","35.0529087407514","35.0529087407514","35.0529087407514","908","908","908","35.44449568999125","35.44449568999125","35.44449568999125"
"9","1009","1009","1009","28.59407787237853","28.59407787237853","28.59407787237853","1009","1009","1009","31.326529913334724","31.326529913334724","31.326529913334724"
"10","1110","1110","1110","29.153821131255025","29.153821131255025","29.153821131255025","1110","1110","1110","28.22521861798159","28.22521861798159","28.22521861798159"
"11","1211","1211","1211","28.127441897306092","28.127441897306092","28.127441897306092","1211","1211","1211","30.15121969253407","30.15121969253407","30.15121969253407"
"12","1312","1312","1312","27.544098233495873","27.544098233495873","27.544098233495873","1312","1312","1312","32.09682703203054","32.09682703203054","32.09682703203054"
"13","1413","1413","1413","26.818234753023088","26.818234753023088","26.818234753023088","1413","1413","1413","29.025119496496185","29.025119496496185","29.025119496496185"
"14","1514","1514","1514","26.565376871882922","26.565376871882922","26.565376871882922","1514","1514","1514","27.198881849647154","27.198881849647154","27.198881849647154"
"15","1615","1615","1615","26.522370017535845","26.522370017535845","26.522370017535845","1615","1615","1615","27.213038225373136","27.213038225373136","27.213038225373136"