"epoch","G46_0406-0948_adam_lr_1e-4_4f5fb - _step","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - _step__MAX","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MIN","G46_0406-0948_adam_lr_1e-4_4f5fb - metrics_summary/grader__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - _step","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - _step__MAX","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MIN","G46_0405-1210_sgd_lr_1e-2_3e832 - metrics_summary/grader__MAX"
"0","100","100","100","12.370794819997748","12.370794819997748","12.370794819997748","100","100","100","8.803730682506973","8.803730682506973","8.803730682506973"
"1","201","201","201","19.752371050447444","19.752371050447444","19.752371050447444","201","201","201","17.133558901683834","17.133558901683834","17.133558901683834"
"2","302","302","302","24.345828061449232","24.345828061449232","24.345828061449232","302","302","302","15.149783575702543","15.149783575702543","15.149783575702543"
"3","403","403","403","29.669879599284677","29.669879599284677","29.669879599284677","403","403","403","26.871410415294964","26.871410415294964","26.871410415294964"
"4","504","504","504","29.257079202378417","29.257079202378417","29.257079202378417","504","504","504","23.871755764890246","23.871755764890246","23.871755764890246"
"5","605","605","605","31.144500287021387","31.144500287021387","31.144500287021387","605","605","605","32.170708262272186","32.170708262272186","32.170708262272186"
"6","706","706","706","33.28346446665874","33.28346446665874","33.28346446665874","706","706","706","30.296454850882554","30.296454850882554","30.296454850882554"
"7","807","807","807","35.155000209759194","35.155000209759194","35.155000209759194","807","807","807","26.394304585099924","26.394304585099924","26.394304585099924"
"8","908","908","908","30.275064603681905","30.275064603681905","30.275064603681905","908","908","908","26.757582998839652","26.757582998839652","26.757582998839652"
"9","1009","1009","1009","37.21097958947769","37.21097958947769","37.21097958947769","1009","1009","1009","33.562465264828944","33.562465264828944","33.562465264828944"
"10","1110","1110","1110","38.068292378191686","38.068292378191686","38.068292378191686","1110","1110","1110","37.86756727913045","37.86756727913045","37.86756727913045"
"11","1211","1211","1211","39.343033185851674","39.343033185851674","39.343033185851674","1211","1211","1211","35.64153685766456","35.64153685766456","35.64153685766456"
"12","1312","1312","1312","41.01990432327182","41.01990432327182","41.01990432327182","1312","1312","1312","33.9971631355078","33.9971631355078","33.9971631355078"
"13","1413","1413","1413","42.170259453482146","42.170259453482146","42.170259453482146","1413","1413","1413","37.50272066039891","37.50272066039891","37.50272066039891"
"14","1514","1514","1514","43.01837637593441","43.01837637593441","43.01837637593441","1514","1514","1514","40.01745735909594","40.01745735909594","40.01745735909594"
"15","1615","1615","1615","43.30846716948811","43.30846716948811","43.30846716948811","1615","1615","1615","39.84009728281991","39.84009728281991","39.84009728281991"