"epoch","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/depth__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/depth__MAX"
"0","200","200","200","32.43052789681399","32.43052789681399","32.43052789681399","200","200","200","35.914244485043525","35.914244485043525","35.914244485043525","200","200","200","28.52085405691125","28.52085405691125","28.52085405691125"
"1","401","401","401","32.99388069493505","32.99388069493505","32.99388069493505","401","401","401","33.13424250407569","33.13424250407569","33.13424250407569","401","401","401","28.678495701344573","28.678495701344573","28.678495701344573"
"2","602","602","602","33.42810178895307","33.42810178895307","33.42810178895307","602","602","602","32.149802023764344","32.149802023764344","32.149802023764344","602","602","602","25.52983036703025","25.52983036703025","25.52983036703025"
"3","803","803","803","27.932910139251355","27.932910139251355","27.932910139251355","803","803","803","28.27886720562101","28.27886720562101","28.27886720562101","803","803","803","26.82341337129247","26.82341337129247","26.82341337129247"
"4","1004","1004","1004","28.54917116606236","28.54917116606236","28.54917116606236","1004","1004","1004","28.60936441872568","28.60936441872568","28.60936441872568","1004","1004","1004","26.52791317788816","26.52791317788816","26.52791317788816"
"5","1205","1205","1205","28.045030847368423","28.045030847368423","28.045030847368423","1205","1205","1205","26.78497718411584","26.78497718411584","26.78497718411584","1205","1205","1205","25.957972283201205","25.957972283201205","25.957972283201205"
"6","1406","1406","1406","26.590113450462784","26.590113450462784","26.590113450462784","1406","1406","1406","30.58692284119093","30.58692284119093","30.58692284119093","1406","1406","1406","25.9085869163336","25.9085869163336","25.9085869163336"
"7","1607","1607","1607","25.429760300258305","25.429760300258305","25.429760300258305","1607","1607","1607","32.17405406234895","32.17405406234895","32.17405406234895","1607","1607","1607","24.804215820903035","24.804215820903035","24.804215820903035"
"8","1808","1808","1808","26.86185312047864","26.86185312047864","26.86185312047864","1808","1808","1808","26.98660847058667","26.98660847058667","26.98660847058667","1808","1808","1808","24.71793121354503","24.71793121354503","24.71793121354503"
"9","2009","2009","2009","25.7835330093725","25.7835330093725","25.7835330093725","2009","2009","2009","28.076695935467608","28.076695935467608","28.076695935467608","2009","2009","2009","24.56242123892605","24.56242123892605","24.56242123892605"
"10","2210","2210","2210","26.452001884815957","26.452001884815957","26.452001884815957","2210","2210","2210","25.439240193512653","25.439240193512653","25.439240193512653","2210","2210","2210","24.177984505142998","24.177984505142998","24.177984505142998"
"11","2411","2411","2411","26.55218198968255","26.55218198968255","26.55218198968255","2411","2411","2411","24.40112683338293","24.40112683338293","24.40112683338293","2411","2411","2411","23.996743018791893","23.996743018791893","23.996743018791893"
"12","2612","2612","2612","25.109847332562286","25.109847332562286","25.109847332562286","2612","2612","2612","24.90393277954029","24.90393277954029","24.90393277954029","2612","2612","2612","23.34127309334705","23.34127309334705","23.34127309334705"
"13","2813","2813","2813","26.61783673797171","26.61783673797171","26.61783673797171","2813","2813","2813","24.588811328282006","24.588811328282006","24.588811328282006","2813","2813","2813","23.673969265614012","23.673969265614012","23.673969265614012"
"14","3014","3014","3014","24.324644438610665","24.324644438610665","24.324644438610665","3014","3014","3014","24.564291386190437","24.564291386190437","24.564291386190437","3014","3014","3014","22.908017769891558","22.908017769891558","22.908017769891558"
"15","3215","3215","3215","24.39006449724935","24.39006449724935","24.39006449724935","3215","3215","3215","24.855935058978268","24.855935058978268","24.855935058978268","3215","3215","3215","22.678110759337358","22.678110759337358","22.678110759337358"
"16","3416","3416","3416","25.103291916301874","25.103291916301874","25.103291916301874","3416","3416","3416","23.941155644921743","23.941155644921743","23.941155644921743","","","","","",""
"17","3617","3617","3617","24.004063498487135","24.004063498487135","24.004063498487135","3617","3617","3617","23.853107762915744","23.853107762915744","23.853107762915744","","","","","",""
"18","3818","3818","3818","24.551477267262914","24.551477267262914","24.551477267262914","3818","3818","3818","25.728895156079194","25.728895156079194","25.728895156079194","","","","","",""
"19","4019","4019","4019","23.990685925161646","23.990685925161646","23.990685925161646","4019","4019","4019","23.5207017227123","23.5207017227123","23.5207017227123","","","","","",""
"20","4220","4220","4220","24.018283957033066","24.018283957033066","24.018283957033066","4220","4220","4220","23.041013733726427","23.041013733726427","23.041013733726427","","","","","",""
"21","4421","4421","4421","23.504597557574105","23.504597557574105","23.504597557574105","4421","4421","4421","22.603665131111075","22.603665131111075","22.603665131111075","","","","","",""
"22","4622","4622","4622","23.375045538625272","23.375045538625272","23.375045538625272","4622","4622","4622","22.452939862504792","22.452939862504792","22.452939862504792","","","","","",""
"23","4823","4823","4823","23.367121971306712","23.367121971306712","23.367121971306712","4823","4823","4823","23.145090113510175","23.145090113510175","23.145090113510175","","","","","",""
"24","5024","5024","5024","23.72582855502738","23.72582855502738","23.72582855502738","5024","5024","5024","22.396072732655085","22.396072732655085","22.396072732655085","","","","","",""
"25","5225","5225","5225","23.009124559967955","23.009124559967955","23.009124559967955","5225","5225","5225","22.07858410871427","22.07858410871427","22.07858410871427","","","","","",""
"26","5426","5426","5426","22.86543029162554","22.86543029162554","22.86543029162554","5426","5426","5426","21.777442768914895","21.777442768914895","21.777442768914895","","","","","",""
"27","5627","5627","5627","22.481348970408238","22.481348970408238","22.481348970408238","5627","5627","5627","21.45041101153169","21.45041101153169","21.45041101153169","","","","","",""
"28","","","","","","","5828","5828","5828","21.698832144314704","21.698832144314704","21.698832144314704","","","","","",""