"epoch","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MAX","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/depth__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/depth__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/depth__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/depth__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/depth__MAX"
"0","200","200","200","36.41555954907282","36.41555954907282","36.41555954907282","200","200","200","30.224720794063575","30.224720794063575","30.224720794063575","200","200","200","35.25109473807798","35.25109473807798","35.25109473807798","200","200","200","32.01221538833107","32.01221538833107","32.01221538833107","200","200","200","32.43052789681399","32.43052789681399","32.43052789681399"
"1","401","401","401","32.79390547140785","32.79390547140785","32.79390547140785","401","401","401","28.369325534126972","28.369325534126972","28.369325534126972","401","401","401","30.823114645573106","30.823114645573106","30.823114645573106","401","401","401","30.403891947151376","30.403891947151376","30.403891947151376","401","401","401","32.99388069493505","32.99388069493505","32.99388069493505"
"2","602","602","602","29.74336847220408","29.74336847220408","29.74336847220408","602","602","602","25.916502741387","25.916502741387","25.916502741387","602","602","602","37.89634563323739","37.89634563323739","37.89634563323739","602","602","602","29.613371267019282","29.613371267019282","29.613371267019282","602","602","602","33.42810178895307","33.42810178895307","33.42810178895307"
"3","803","803","803","29.353362185953873","29.353362185953873","29.353362185953873","803","803","803","25.65853091130513","25.65853091130513","25.65853091130513","803","803","803","28.227736352239376","28.227736352239376","28.227736352239376","803","803","803","30.33308183040341","30.33308183040341","30.33308183040341","803","803","803","27.932910139251355","27.932910139251355","27.932910139251355"
"4","1004","1004","1004","28.600574765496447","28.600574765496447","28.600574765496447","1004","1004","1004","23.936699437373527","23.936699437373527","23.936699437373527","1004","1004","1004","27.391113493159814","27.391113493159814","27.391113493159814","1004","1004","1004","27.2606819778467","27.2606819778467","27.2606819778467","1004","1004","1004","28.54917116606236","28.54917116606236","28.54917116606236"
"5","1205","1205","1205","27.869144556937925","27.869144556937925","27.869144556937925","1205","1205","1205","23.635439607521057","23.635439607521057","23.635439607521057","1205","1205","1205","31.040286353436297","31.040286353436297","31.040286353436297","1205","1205","1205","27.950152161854486","27.950152161854486","27.950152161854486","1205","1205","1205","28.045030847368423","28.045030847368423","28.045030847368423"
"6","1406","1406","1406","27.064561001411615","27.064561001411615","27.064561001411615","1406","1406","1406","22.999896458370074","22.999896458370074","22.999896458370074","1406","1406","1406","28.662603968015006","28.662603968015006","28.662603968015006","1406","1406","1406","27.204089591039857","27.204089591039857","27.204089591039857","1406","1406","1406","26.590113450462784","26.590113450462784","26.590113450462784"
"7","1607","1607","1607","29.90256630598543","29.90256630598543","29.90256630598543","1607","1607","1607","22.904248775460342","22.904248775460342","22.904248775460342","1607","1607","1607","28.43291311140121","28.43291311140121","28.43291311140121","1607","1607","1607","26.290277871850527","26.290277871850527","26.290277871850527","1607","1607","1607","25.429760300258305","25.429760300258305","25.429760300258305"
"8","1808","1808","1808","25.99213783849077","25.99213783849077","25.99213783849077","1808","1808","1808","24.24429188055704","24.24429188055704","24.24429188055704","1808","1808","1808","26.81697683725875","26.81697683725875","26.81697683725875","1808","1808","1808","25.84416990249757","25.84416990249757","25.84416990249757","1808","1808","1808","26.86185312047864","26.86185312047864","26.86185312047864"
"9","2009","2009","2009","25.371339971410272","25.371339971410272","25.371339971410272","2009","2009","2009","22.98727350195235","22.98727350195235","22.98727350195235","2009","2009","2009","26.84816328503822","26.84816328503822","26.84816328503822","2009","2009","2009","26.06718896306785","26.06718896306785","26.06718896306785","2009","2009","2009","25.7835330093725","25.7835330093725","25.7835330093725"
"10","2210","2210","2210","25.429704986072313","25.429704986072313","25.429704986072313","2210","2210","2210","22.108061161022682","22.108061161022682","22.108061161022682","2210","2210","2210","27.509677898597786","27.509677898597786","27.509677898597786","2210","2210","2210","25.89414803050757","25.89414803050757","25.89414803050757","2210","2210","2210","26.452001884815957","26.452001884815957","26.452001884815957"
"11","2411","2411","2411","24.91496206597441","24.91496206597441","24.91496206597441","2411","2411","2411","23.085116605228784","23.085116605228784","23.085116605228784","2411","2411","2411","25.37319887881283","25.37319887881283","25.37319887881283","2411","2411","2411","25.337099310278408","25.337099310278408","25.337099310278408","2411","2411","2411","26.55218198968255","26.55218198968255","26.55218198968255"
"12","2612","2612","2612","23.600173723846012","23.600173723846012","23.600173723846012","2612","2612","2612","23.240361423388908","23.240361423388908","23.240361423388908","2612","2612","2612","25.559885735380558","25.559885735380558","25.559885735380558","2612","2612","2612","24.537188528319387","24.537188528319387","24.537188528319387","2612","2612","2612","25.109847332562286","25.109847332562286","25.109847332562286"
"13","2813","2813","2813","25.555204333094746","25.555204333094746","25.555204333094746","2813","2813","2813","21.186926898670713","21.186926898670713","21.186926898670713","2813","2813","2813","25.098983691225595","25.098983691225595","25.098983691225595","2813","2813","2813","24.175384418269665","24.175384418269665","24.175384418269665","2813","2813","2813","26.61783673797171","26.61783673797171","26.61783673797171"
"14","3014","3014","3014","24.873146458384028","24.873146458384028","24.873146458384028","3014","3014","3014","21.43737683257107","21.43737683257107","21.43737683257107","3014","3014","3014","25.286998559829883","25.286998559829883","25.286998559829883","3014","3014","3014","27.278486245169344","27.278486245169344","27.278486245169344","3014","3014","3014","24.324644438610665","24.324644438610665","24.324644438610665"
"15","3215","3215","3215","24.03231744474452","24.03231744474452","24.03231744474452","3215","3215","3215","21.768617205459307","21.768617205459307","21.768617205459307","3215","3215","3215","24.522725140047857","24.522725140047857","24.522725140047857","3215","3215","3215","24.04695706037719","24.04695706037719","24.04695706037719","3215","3215","3215","24.39006449724935","24.39006449724935","24.39006449724935"
"16","3416","3416","3416","22.869041187229485","22.869041187229485","22.869041187229485","3416","3416","3416","21.49879027740699","21.49879027740699","21.49879027740699","3416","3416","3416","23.809221883043612","23.809221883043612","23.809221883043612","3416","3416","3416","23.577532255450315","23.577532255450315","23.577532255450315","3416","3416","3416","25.103291916301874","25.103291916301874","25.103291916301874"
"17","3617","3617","3617","23.0280323781313","23.0280323781313","23.0280323781313","3617","3617","3617","22.36483670149534","22.36483670149534","22.36483670149534","3617","3617","3617","23.644413092202427","23.644413092202427","23.644413092202427","3617","3617","3617","24.53266741560234","24.53266741560234","24.53266741560234","3617","3617","3617","24.004063498487135","24.004063498487135","24.004063498487135"
"18","3818","3818","3818","22.9359928810642","22.9359928810642","22.9359928810642","3818","3818","3818","21.917889024796068","21.917889024796068","21.917889024796068","3818","3818","3818","22.998415153089294","22.998415153089294","22.998415153089294","3818","3818","3818","23.716689085655556","23.716689085655556","23.716689085655556","3818","3818","3818","24.551477267262914","24.551477267262914","24.551477267262914"
"19","4019","4019","4019","22.551334440396495","22.551334440396495","22.551334440396495","4019","4019","4019","21.047550927473402","21.047550927473402","21.047550927473402","4019","4019","4019","24.155768515372024","24.155768515372024","24.155768515372024","4019","4019","4019","23.37213749169699","23.37213749169699","23.37213749169699","4019","4019","4019","23.990685925161646","23.990685925161646","23.990685925161646"
"20","4220","4220","4220","22.78861645667227","22.78861645667227","22.78861645667227","4220","4220","4220","21.556064840055075","21.556064840055075","21.556064840055075","4220","4220","4220","23.268618242620853","23.268618242620853","23.268618242620853","4220","4220","4220","24.321143180499778","24.321143180499778","24.321143180499778","4220","4220","4220","24.018283957033066","24.018283957033066","24.018283957033066"
"21","4421","4421","4421","22.88131490006506","22.88131490006506","22.88131490006506","4421","4421","4421","20.777970246187753","20.777970246187753","20.777970246187753","4421","4421","4421","24.147153863343995","24.147153863343995","24.147153863343995","4421","4421","4421","24.72346027356876","24.72346027356876","24.72346027356876","4421","4421","4421","23.504597557574105","23.504597557574105","23.504597557574105"
"22","4622","4622","4622","22.407613736266544","22.407613736266544","22.407613736266544","4622","4622","4622","21.223001125092445","21.223001125092445","21.223001125092445","4622","4622","4622","22.52634193204943","22.52634193204943","22.52634193204943","4622","4622","4622","23.31440792037086","23.31440792037086","23.31440792037086","4622","4622","4622","23.375045538625272","23.375045538625272","23.375045538625272"
"23","4823","4823","4823","22.356947017510837","22.356947017510837","22.356947017510837","4823","4823","4823","21.30782064755557","21.30782064755557","21.30782064755557","4823","4823","4823","22.488451133549507","22.488451133549507","22.488451133549507","4823","4823","4823","23.78609228849195","23.78609228849195","23.78609228849195","4823","4823","4823","23.367121971306712","23.367121971306712","23.367121971306712"
"24","5024","5024","5024","22.41298248114906","22.41298248114906","22.41298248114906","5024","5024","5024","21.106168225130457","21.106168225130457","21.106168225130457","5024","5024","5024","22.277779413270785","22.277779413270785","22.277779413270785","5024","5024","5024","23.237337662241504","23.237337662241504","23.237337662241504","5024","5024","5024","23.72582855502738","23.72582855502738","23.72582855502738"
"25","5225","5225","5225","22.09009467371207","22.09009467371207","22.09009467371207","5225","5225","5225","21.05224898723941","21.05224898723941","21.05224898723941","5225","5225","5225","22.21481633496946","22.21481633496946","22.21481633496946","5225","5225","5225","22.72578930992281","22.72578930992281","22.72578930992281","5225","5225","5225","23.009124559967955","23.009124559967955","23.009124559967955"
"26","5426","5426","5426","22.05123916075391","22.05123916075391","22.05123916075391","5426","5426","5426","21.42407046153425","21.42407046153425","21.42407046153425","5426","5426","5426","22.192097723173312","22.192097723173312","22.192097723173312","5426","5426","5426","23.027346703548275","23.027346703548275","23.027346703548275","5426","5426","5426","22.86543029162554","22.86543029162554","22.86543029162554"
"27","5627","5627","5627","22.185877413307338","22.185877413307338","22.185877413307338","5627","5627","5627","21.11843461853928","21.11843461853928","21.11843461853928","5627","5627","5627","21.858045126006434","21.858045126006434","21.858045126006434","5627","5627","5627","21.69662632242589","21.69662632242589","21.69662632242589","5627","5627","5627","22.481348970408238","22.481348970408238","22.481348970408238"
"28","5828","5828","5828","21.73996041860657","21.73996041860657","21.73996041860657","5828","5828","5828","20.470120530064207","20.470120530064207","20.470120530064207","5828","5828","5828","21.988830537661997","21.988830537661997","21.988830537661997","5828","5828","5828","22.49049177723086","22.49049177723086","22.49049177723086","","","","","",""
"29","6029","6029","6029","21.851051632634483","21.851051632634483","21.851051632634483","6029","6029","6029","20.787682347693384","20.787682347693384","20.787682347693384","6029","6029","6029","21.511083153015075","21.511083153015075","21.511083153015075","6029","6029","6029","21.45126965613275","21.45126965613275","21.45126965613275","","","","","",""
"30","6230","6230","6230","21.883446414789294","21.883446414789294","21.883446414789294","6230","6230","6230","20.60977569794176","20.60977569794176","20.60977569794176","6230","6230","6230","21.647429672864423","21.647429672864423","21.647429672864423","6230","6230","6230","21.325551249770914","21.325551249770914","21.325551249770914","","","","","",""
"31","6431","6431","6431","22.01604146010004","22.01604146010004","22.01604146010004","6431","6431","6431","20.80129514163508","20.80129514163508","20.80129514163508","6431","6431","6431","21.202257145004793","21.202257145004793","21.202257145004793","6431","6431","6431","21.26756655304543","21.26756655304543","21.26756655304543","","","","","",""