"epoch","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MAX","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/grader","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/grader__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/grader__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/grader","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/grader__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/grader__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/grader","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/grader__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/grader__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/grader","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/grader__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/grader__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MAX"
"0","200","200","200","25.0232950328869","25.0232950328869","25.0232950328869","200","200","200","32.99111172597287","32.99111172597287","32.99111172597287","200","200","200","32.27703401997613","32.27703401997613","32.27703401997613","200","200","200","34.463273747863425","34.463273747863425","34.463273747863425","200","200","200","33.17243425584697","33.17243425584697","33.17243425584697"
"1","401","401","401","33.840708676192456","33.840708676192456","33.840708676192456","401","401","401","40.24314636369438","40.24314636369438","40.24314636369438","401","401","401","40.75092579727242","40.75092579727242","40.75092579727242","401","401","401","39.14009935826837","39.14009935826837","39.14009935826837","401","401","401","36.488872233664885","36.488872233664885","36.488872233664885"
"2","602","602","602","40.29704431149207","40.29704431149207","40.29704431149207","602","602","602","46.80818681494656","46.80818681494656","46.80818681494656","602","602","602","31.850364763517376","31.850364763517376","31.850364763517376","602","602","602","43.28383223268428","43.28383223268428","43.28383223268428","602","602","602","39.62254248285589","39.62254248285589","39.62254248285589"
"3","803","803","803","42.38917126338477","42.38917126338477","42.38917126338477","803","803","803","48.18869562059615","48.18869562059615","48.18869562059615","803","803","803","47.64837281240305","47.64837281240305","47.64837281240305","803","803","803","44.3272817409278","44.3272817409278","44.3272817409278","803","803","803","47.294520519847815","47.294520519847815","47.294520519847815"
"4","1004","1004","1004","44.73492054934212","44.73492054934212","44.73492054934212","1004","1004","1004","51.10732857749384","51.10732857749384","51.10732857749384","1004","1004","1004","48.37207185520756","48.37207185520756","48.37207185520756","1004","1004","1004","48.959152835724765","48.959152835724765","48.959152835724765","1004","1004","1004","47.501233850628836","47.501233850628836","47.501233850628836"
"5","1205","1205","1205","46.23193405836332","46.23193405836332","46.23193405836332","1205","1205","1205","52.12923097372826","52.12923097372826","52.12923097372826","1205","1205","1205","45.69153811329335","45.69153811329335","45.69153811329335","1205","1205","1205","49.56738726101922","49.56738726101922","49.56738726101922","1205","1205","1205","47.12693461139452","47.12693461139452","47.12693461139452"
"6","1406","1406","1406","47.80440375650802","47.80440375650802","47.80440375650802","1406","1406","1406","54.14823398793861","54.14823398793861","54.14823398793861","1406","1406","1406","49.23273949127092","49.23273949127092","49.23273949127092","1406","1406","1406","46.593875140242304","46.593875140242304","46.593875140242304","1406","1406","1406","49.95655354526194","49.95655354526194","49.95655354526194"
"7","1607","1607","1607","45.253118710164145","45.253118710164145","45.253118710164145","1607","1607","1607","54.71739455733481","54.71739455733481","54.71739455733481","1607","1607","1607","46.65769596442823","46.65769596442823","46.65769596442823","1607","1607","1607","52.34987494909526","52.34987494909526","52.34987494909526","1607","1607","1607","52.41361446051074","52.41361446051074","52.41361446051074"
"8","1808","1808","1808","49.66720347321442","49.66720347321442","49.66720347321442","1808","1808","1808","53.64076894832091","53.64076894832091","53.64076894832091","1808","1808","1808","50.12354284907897","50.12354284907897","50.12354284907897","1808","1808","1808","52.10695362416725","52.10695362416725","52.10695362416725","1808","1808","1808","50.27918787664565","50.27918787664565","50.27918787664565"
"9","2009","2009","2009","50.97123586262659","50.97123586262659","50.97123586262659","2009","2009","2009","55.57142617822239","55.57142617822239","55.57142617822239","2009","2009","2009","47.168961609491284","47.168961609491284","47.168961609491284","2009","2009","2009","52.309645396140084","52.309645396140084","52.309645396140084","2009","2009","2009","50.55380233873427","50.55380233873427","50.55380233873427"
"10","2210","2210","2210","51.36826690500796","51.36826690500796","51.36826690500796","2210","2210","2210","56.601882088641965","56.601882088641965","56.601882088641965","2210","2210","2210","51.27651591561168","51.27651591561168","51.27651591561168","2210","2210","2210","52.544397310690215","52.544397310690215","52.544397310690215","2210","2210","2210","49.28856559263534","49.28856559263534","49.28856559263534"
"11","2411","2411","2411","51.58751874778393","51.58751874778393","51.58751874778393","2411","2411","2411","55.957832516439744","55.957832516439744","55.957832516439744","2411","2411","2411","53.524929467741714","53.524929467741714","53.524929467741714","2411","2411","2411","54.808913294666425","54.808913294666425","54.808913294666425","2411","2411","2411","51.796244562447484","51.796244562447484","51.796244562447484"
"12","2612","2612","2612","53.39290827113051","53.39290827113051","53.39290827113051","2612","2612","2612","55.98355855327321","55.98355855327321","55.98355855327321","2612","2612","2612","53.93202705420113","53.93202705420113","53.93202705420113","2612","2612","2612","55.451071365957134","55.451071365957134","55.451071365957134","2612","2612","2612","53.72986009858025","53.72986009858025","53.72986009858025"
"13","2813","2813","2813","51.78594863983979","51.78594863983979","51.78594863983979","2813","2813","2813","58.25251774765008","58.25251774765008","58.25251774765008","2813","2813","2813","54.22448772651927","54.22448772651927","54.22448772651927","2813","2813","2813","55.54096657627172","55.54096657627172","55.54096657627172","2813","2813","2813","52.96089227293494","52.96089227293494","52.96089227293494"
"14","3014","3014","3014","52.40963657627202","52.40963657627202","52.40963657627202","3014","3014","3014","58.347219875353936","58.347219875353936","58.347219875353936","3014","3014","3014","54.281227269535336","54.281227269535336","54.281227269535336","3014","3014","3014","52.778804707790584","52.778804707790584","52.778804707790584","3014","3014","3014","55.02038171724293","55.02038171724293","55.02038171724293"
"15","3215","3215","3215","53.58551901095646","53.58551901095646","53.58551901095646","3215","3215","3215","58.14932012009615","58.14932012009615","58.14932012009615","3215","3215","3215","54.84076536890737","54.84076536890737","54.84076536890737","3215","3215","3215","57.16177665035534","57.16177665035534","57.16177665035534","3215","3215","3215","56.30764019066605","56.30764019066605","56.30764019066605"
"16","3416","3416","3416","55.22343008843447","55.22343008843447","55.22343008843447","3416","3416","3416","58.54760045406693","58.54760045406693","58.54760045406693","3416","3416","3416","56.669398766014545","56.669398766014545","56.669398766014545","3416","3416","3416","57.26507796308031","57.26507796308031","57.26507796308031","3416","3416","3416","55.56799298165123","55.56799298165123","55.56799298165123"
"17","3617","3617","3617","55.269983480660144","55.269983480660144","55.269983480660144","3617","3617","3617","57.916832891106594","57.916832891106594","57.916832891106594","3617","3617","3617","57.36660793751098","57.36660793751098","57.36660793751098","3617","3617","3617","56.424394258933","56.424394258933","56.424394258933","3617","3617","3617","56.496129816768736","56.496129816768736","56.496129816768736"
"18","3818","3818","3818","55.25879845362791","55.25879845362791","55.25879845362791","3818","3818","3818","58.71564688014995","58.71564688014995","58.71564688014995","3818","3818","3818","58.14347877679846","58.14347877679846","58.14347877679846","3818","3818","3818","57.72683487235375","57.72683487235375","57.72683487235375","3818","3818","3818","56.458979968281795","56.458979968281795","56.458979968281795"
"19","4019","4019","4019","56.02666139123","56.02666139123","56.02666139123","4019","4019","4019","59.325734202943984","59.325734202943984","59.325734202943984","4019","4019","4019","56.381562645208355","56.381562645208355","56.381562645208355","4019","4019","4019","57.89731041307138","57.89731041307138","57.89731041307138","4019","4019","4019","56.95469818310016","56.95469818310016","56.95469818310016"
"20","4220","4220","4220","55.77930683540913","55.77930683540913","55.77930683540913","4220","4220","4220","59.33860163077337","59.33860163077337","59.33860163077337","4220","4220","4220","58.5423247573297","58.5423247573297","58.5423247573297","4220","4220","4220","57.048153264587626","57.048153264587626","57.048153264587626","4220","4220","4220","57.752158042191965","57.752158042191965","57.752158042191965"
"21","4421","4421","4421","55.835330257968494","55.835330257968494","55.835330257968494","4421","4421","4421","60.092676057087715","60.092676057087715","60.092676057087715","4421","4421","4421","57.28146756359849","57.28146756359849","57.28146756359849","4421","4421","4421","57.026655026116984","57.026655026116984","57.026655026116984","4421","4421","4421","58.11884587714472","58.11884587714472","58.11884587714472"
"22","4622","4622","4622","56.450843200097765","56.450843200097765","56.450843200097765","4622","4622","4622","59.8886633172987","59.8886633172987","59.8886633172987","4622","4622","4622","59.376194771739804","59.376194771739804","59.376194771739804","4622","4622","4622","58.22491402833217","58.22491402833217","58.22491402833217","4622","4622","4622","58.17114668801996","58.17114668801996","58.17114668801996"
"23","4823","4823","4823","56.518366259034124","56.518366259034124","56.518366259034124","4823","4823","4823","59.87299682852098","59.87299682852098","59.87299682852098","4823","4823","4823","59.896162436366296","59.896162436366296","59.896162436366296","4823","4823","4823","58.591937772513354","58.591937772513354","58.591937772513354","4823","4823","4823","58.90788835308929","58.90788835308929","58.90788835308929"
"24","5024","5024","5024","56.42269189140043","56.42269189140043","56.42269189140043","5024","5024","5024","59.541960411623634","59.541960411623634","59.541960411623634","5024","5024","5024","60.19076470686661","60.19076470686661","60.19076470686661","5024","5024","5024","59.34188532813813","59.34188532813813","59.34188532813813","5024","5024","5024","57.394443103239695","57.394443103239695","57.394443103239695"
"25","5225","5225","5225","57.00199467524469","57.00199467524469","57.00199467524469","5225","5225","5225","60.17095308212333","60.17095308212333","60.17095308212333","5225","5225","5225","60.551334950902785","60.551334950902785","60.551334950902785","5225","5225","5225","60.05066125513188","60.05066125513188","60.05066125513188","5225","5225","5225","59.59524361368129","59.59524361368129","59.59524361368129"
"26","5426","5426","5426","56.955842237365175","56.955842237365175","56.955842237365175","5426","5426","5426","59.82680975416324","59.82680975416324","59.82680975416324","5426","5426","5426","60.56628917745399","60.56628917745399","60.56628917745399","5426","5426","5426","59.68322493973213","59.68322493973213","59.68322493973213","5426","5426","5426","59.87724998792794","59.87724998792794","59.87724998792794"
"27","5627","5627","5627","56.77979405136499","56.77979405136499","56.77979405136499","5627","5627","5627","60.157336486242116","60.157336486242116","60.157336486242116","5627","5627","5627","60.97296802713288","60.97296802713288","60.97296802713288","5627","5627","5627","61.30430586575723","61.30430586575723","61.30430586575723","5627","5627","5627","60.6557435404698","60.6557435404698","60.6557435404698"
"28","5828","5828","5828","57.48315739874846","57.48315739874846","57.48315739874846","5828","5828","5828","60.95337787706754","60.95337787706754","60.95337787706754","5828","5828","5828","60.95639009827944","60.95639009827944","60.95639009827944","5828","5828","5828","60.67615302657046","60.67615302657046","60.67615302657046","","","","","",""
"29","6029","6029","6029","57.291826370144335","57.291826370144335","57.291826370144335","6029","6029","6029","60.726059549375144","60.726059549375144","60.726059549375144","6029","6029","6029","61.88060460243442","61.88060460243442","61.88060460243442","6029","6029","6029","62.002628863815204","62.002628863815204","62.002628863815204","","","","","",""
"30","6230","6230","6230","57.328550913278406","57.328550913278406","57.328550913278406","6230","6230","6230","60.916440365365844","60.916440365365844","60.916440365365844","6230","6230","6230","61.780799225612824","61.780799225612824","61.780799225612824","6230","6230","6230","62.19414279076918","62.19414279076918","62.19414279076918","","","","","",""
"31","6431","6431","6431","57.11873848546938","57.11873848546938","57.11873848546938","6431","6431","6431","60.743073627068085","60.743073627068085","60.743073627068085","6431","6431","6431","62.45917266930364","62.45917266930364","62.45917266930364","6431","6431","6431","62.49169049669753","62.49169049669753","62.49169049669753","","","","","",""