"epoch","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - _step__MAX","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg__MIN","G46_0507-0818_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_31889 - metrics_summary/semseg__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - _step__MAX","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg__MIN","G46_0507-0810_sgd_lr_1e-3_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_db14e - metrics_summary/semseg__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - _step__MAX","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg__MIN","G46_0506-1027_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_deeper_27d69 - metrics_summary/semseg__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - _step__MAX","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg__MIN","G46_0504-0638_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_sa_loss_avg_dcd_3conv_8b8c2 - metrics_summary/semseg__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/semseg__MAX"
"0","200","200","200","61.43885458195972","61.43885458195972","61.43885458195972","200","200","200","63.21583252003645","63.21583252003645","63.21583252003645","200","200","200","67.52812875805411","67.52812875805411","67.52812875805411","200","200","200","66.4754891361945","66.4754891361945","66.4754891361945","200","200","200","65.60296215266096","65.60296215266096","65.60296215266096"
"1","401","401","401","66.6346141476003","66.6346141476003","66.6346141476003","401","401","401","68.61247189782135","68.61247189782135","68.61247189782135","401","401","401","71.57404044284553","71.57404044284553","71.57404044284553","401","401","401","69.54399130541975","69.54399130541975","69.54399130541975","401","401","401","69.48275292859994","69.48275292859994","69.48275292859994"
"2","602","602","602","70.04041278369615","70.04041278369615","70.04041278369615","602","602","602","72.72468955633356","72.72468955633356","72.72468955633356","602","602","602","69.74671039675476","69.74671039675476","69.74671039675476","602","602","602","72.89720349970356","72.89720349970356","72.89720349970356","602","602","602","73.05064427180896","73.05064427180896","73.05064427180896"
"3","803","803","803","71.74253344933864","71.74253344933864","71.74253344933864","803","803","803","73.84722653190128","73.84722653190128","73.84722653190128","803","803","803","75.87610916464243","75.87610916464243","75.87610916464243","803","803","803","74.66036357133122","74.66036357133122","74.66036357133122","803","803","803","75.22743065909917","75.22743065909917","75.22743065909917"
"4","1004","1004","1004","73.33549531483857","73.33549531483857","73.33549531483857","1004","1004","1004","75.04402801486737","75.04402801486737","75.04402801486737","1004","1004","1004","75.76318534836737","75.76318534836737","75.76318534836737","1004","1004","1004","76.21983481357147","76.21983481357147","76.21983481357147","1004","1004","1004","76.0504050166912","76.0504050166912","76.0504050166912"
"5","1205","1205","1205","74.10107861530125","74.10107861530125","74.10107861530125","1205","1205","1205","75.76467058124932","75.76467058124932","75.76467058124932","1205","1205","1205","76.73182446672965","76.73182446672965","76.73182446672965","1205","1205","1205","77.51753942287371","77.51753942287371","77.51753942287371","1205","1205","1205","75.17196545876294","75.17196545876294","75.17196545876294"
"6","1406","1406","1406","74.86896475791964","74.86896475791964","74.86896475791964","1406","1406","1406","77.14813044630868","77.14813044630868","77.14813044630868","1406","1406","1406","77.89534345928593","77.89534345928593","77.89534345928593","1406","1406","1406","73.79796473128216","73.79796473128216","73.79796473128216","1406","1406","1406","76.54666699572472","76.54666699572472","76.54666699572472"
"7","1607","1607","1607","75.15568501614958","75.15568501614958","75.15568501614958","1607","1607","1607","77.62164333279516","77.62164333279516","77.62164333279516","1607","1607","1607","75.09060907582943","75.09060907582943","75.09060907582943","1607","1607","1607","78.64015282094579","78.64015282094579","78.64015282094579","1607","1607","1607","77.84337476076905","77.84337476076905","77.84337476076905"
"8","1808","1808","1808","75.65934131170519","75.65934131170519","75.65934131170519","1808","1808","1808","77.88506082887795","77.88506082887795","77.88506082887795","1808","1808","1808","76.94051968633772","76.94051968633772","76.94051968633772","1808","1808","1808","77.95112352666482","77.95112352666482","77.95112352666482","1808","1808","1808","77.14104099712429","77.14104099712429","77.14104099712429"
"9","2009","2009","2009","76.34257583403686","76.34257583403686","76.34257583403686","2009","2009","2009","78.55869968017474","78.55869968017474","78.55869968017474","2009","2009","2009","74.0171248945295","74.0171248945295","74.0171248945295","2009","2009","2009","78.37683435920793","78.37683435920793","78.37683435920793","2009","2009","2009","76.33733534810678","76.33733534810678","76.33733534810678"
"10","2210","2210","2210","76.79797189108027","76.79797189108027","76.79797189108027","2210","2210","2210","78.70994324966465","78.70994324966465","78.70994324966465","2210","2210","2210","78.78619381420947","78.78619381420947","78.78619381420947","2210","2210","2210","78.43854534119778","78.43854534119778","78.43854534119778","2210","2210","2210","75.7405674774513","75.7405674774513","75.7405674774513"
"11","2411","2411","2411","76.50248081375834","76.50248081375834","76.50248081375834","2411","2411","2411","79.04294912166853","79.04294912166853","79.04294912166853","2411","2411","2411","78.89812834655454","78.89812834655454","78.89812834655454","2411","2411","2411","80.14601260494483","80.14601260494483","80.14601260494483","2411","2411","2411","78.34842655213004","78.34842655213004","78.34842655213004"
"12","2612","2612","2612","76.99308199497652","76.99308199497652","76.99308199497652","2612","2612","2612","79.22391997666212","79.22391997666212","79.22391997666212","2612","2612","2612","79.49191278958169","79.49191278958169","79.49191278958169","2612","2612","2612","79.98825989427652","79.98825989427652","79.98825989427652","2612","2612","2612","78.83970743114253","78.83970743114253","78.83970743114253"
"13","2813","2813","2813","77.34115297293454","77.34115297293454","77.34115297293454","2813","2813","2813","79.4394446463208","79.4394446463208","79.4394446463208","2813","2813","2813","79.32347141774487","79.32347141774487","79.32347141774487","2813","2813","2813","79.71635099454139","79.71635099454139","79.71635099454139","2813","2813","2813","79.57872901090666","79.57872901090666","79.57872901090666"
"14","3014","3014","3014","77.28278303465605","77.28278303465605","77.28278303465605","3014","3014","3014","79.784596707925","79.784596707925","79.784596707925","3014","3014","3014","79.56822582936522","79.56822582936522","79.56822582936522","3014","3014","3014","80.05729095295993","80.05729095295993","80.05729095295993","3014","3014","3014","79.34502615585359","79.34502615585359","79.34502615585359"
"15","3215","3215","3215","77.61783645570098","77.61783645570098","77.61783645570098","3215","3215","3215","79.91793732555546","79.91793732555546","79.91793732555546","3215","3215","3215","79.36349050895522","79.36349050895522","79.36349050895522","3215","3215","3215","81.20873371073253","81.20873371073253","81.20873371073253","3215","3215","3215","80.6977046879154","80.6977046879154","80.6977046879154"
"16","3416","3416","3416","78.09247127566395","78.09247127566395","78.09247127566395","3416","3416","3416","80.04639073147392","80.04639073147392","80.04639073147392","3416","3416","3416","80.47862064905816","80.47862064905816","80.47862064905816","3416","3416","3416","80.84261021853062","80.84261021853062","80.84261021853062","3416","3416","3416","80.6712848979531","80.6712848979531","80.6712848979531"
"17","3617","3617","3617","78.29801585879144","78.29801585879144","78.29801585879144","3617","3617","3617","80.28166959260193","80.28166959260193","80.28166959260193","3617","3617","3617","81.0110210297134","81.0110210297134","81.0110210297134","3617","3617","3617","80.95706167453534","80.95706167453534","80.95706167453534","3617","3617","3617","80.50019331525587","80.50019331525587","80.50019331525587"
"18","3818","3818","3818","78.19479133469211","78.19479133469211","78.19479133469211","3818","3818","3818","80.63353590494602","80.63353590494602","80.63353590494602","3818","3818","3818","81.14189392988776","81.14189392988776","81.14189392988776","3818","3818","3818","81.44352395800931","81.44352395800931","81.44352395800931","3818","3818","3818","81.0104572355447","81.0104572355447","81.0104572355447"
"19","4019","4019","4019","78.5779958316265","78.5779958316265","78.5779958316265","4019","4019","4019","80.37328513041739","80.37328513041739","80.37328513041739","4019","4019","4019","80.53733116058038","80.53733116058038","80.53733116058038","4019","4019","4019","81.26944790476837","81.26944790476837","81.26944790476837","4019","4019","4019","80.9453841082618","80.9453841082618","80.9453841082618"
"20","4220","4220","4220","78.5679232920814","78.5679232920814","78.5679232920814","4220","4220","4220","80.89466647082844","80.89466647082844","80.89466647082844","4220","4220","4220","81.81094299995056","81.81094299995056","81.81094299995056","4220","4220","4220","81.3692964450874","81.3692964450874","81.3692964450874","4220","4220","4220","81.77044199922503","81.77044199922503","81.77044199922503"
"21","4421","4421","4421","78.71664515803356","78.71664515803356","78.71664515803356","4421","4421","4421","80.87064630327546","80.87064630327546","80.87064630327546","4421","4421","4421","81.42862142694248","81.42862142694248","81.42862142694248","4421","4421","4421","81.75011529968575","81.75011529968575","81.75011529968575","4421","4421","4421","81.62344343471882","81.62344343471882","81.62344343471882"
"22","4622","4622","4622","78.8584569363643","78.8584569363643","78.8584569363643","4622","4622","4622","81.11166444239115","81.11166444239115","81.11166444239115","4622","4622","4622","81.90253670378924","81.90253670378924","81.90253670378924","4622","4622","4622","81.53932194870303","81.53932194870303","81.53932194870303","4622","4622","4622","81.54619222664523","81.54619222664523","81.54619222664523"
"23","4823","4823","4823","78.87531327654496","78.87531327654496","78.87531327654496","4823","4823","4823","81.18081747607656","81.18081747607656","81.18081747607656","4823","4823","4823","82.3846135699158","82.3846135699158","82.3846135699158","4823","4823","4823","82.3780300610053","82.3780300610053","82.3780300610053","4823","4823","4823","82.275010324396","82.275010324396","82.275010324396"
"24","5024","5024","5024","78.83567437254949","78.83567437254949","78.83567437254949","5024","5024","5024","80.6481286367541","80.6481286367541","80.6481286367541","5024","5024","5024","82.4685441201374","82.4685441201374","82.4685441201374","5024","5024","5024","82.57922299037963","82.57922299037963","82.57922299037963","5024","5024","5024","81.12027165826707","81.12027165826707","81.12027165826707"
"25","5225","5225","5225","79.09208934895676","79.09208934895676","79.09208934895676","5225","5225","5225","81.22320206936274","81.22320206936274","81.22320206936274","5225","5225","5225","82.76615128587224","82.76615128587224","82.76615128587224","5225","5225","5225","82.77645056505469","82.77645056505469","82.77645056505469","5225","5225","5225","82.60436817364925","82.60436817364925","82.60436817364925"
"26","5426","5426","5426","79.00708139811908","79.00708139811908","79.00708139811908","5426","5426","5426","81.25088021569749","81.25088021569749","81.25088021569749","5426","5426","5426","82.7583869006273","82.7583869006273","82.7583869006273","5426","5426","5426","82.7105716432804","82.7105716432804","82.7105716432804","5426","5426","5426","82.74268027955348","82.74268027955348","82.74268027955348"
"27","5627","5627","5627","78.96567146467233","78.96567146467233","78.96567146467233","5627","5627","5627","81.2757711047814","81.2757711047814","81.2757711047814","5627","5627","5627","82.83101315313931","82.83101315313931","82.83101315313931","5627","5627","5627","83.00093218818311","83.00093218818311","83.00093218818311","5627","5627","5627","83.13709251087803","83.13709251087803","83.13709251087803"
"28","5828","5828","5828","79.22311781735503","79.22311781735503","79.22311781735503","5828","5828","5828","81.42349840713175","81.42349840713175","81.42349840713175","5828","5828","5828","82.94522063594144","82.94522063594144","82.94522063594144","5828","5828","5828","83.16664480380132","83.16664480380132","83.16664480380132","","","","","",""
"29","6029","6029","6029","79.14287800277882","79.14287800277882","79.14287800277882","6029","6029","6029","81.51374189706853","81.51374189706853","81.51374189706853","6029","6029","6029","83.3916877554495","83.3916877554495","83.3916877554495","6029","6029","6029","83.45389851994796","83.45389851994796","83.45389851994796","","","","","",""
"30","6230","6230","6230","79.2119973280677","79.2119973280677","79.2119973280677","6230","6230","6230","81.5262160633076","81.5262160633076","81.5262160633076","6230","6230","6230","83.42822889847724","83.42822889847724","83.42822889847724","6230","6230","6230","83.51969404054009","83.51969404054009","83.51969404054009","","","","","",""
"31","6431","6431","6431","79.13477994556942","79.13477994556942","79.13477994556942","6431","6431","6431","81.54436876870317","81.54436876870317","81.54436876870317","6431","6431","6431","83.66142981430843","83.66142981430843","83.66142981430843","6431","6431","6431","83.75925704974296","83.75925704974296","83.75925704974296","","","","","",""